"タイトル","科目","対象","公開日","URL","長さ"
"No.5","英語","中学3年","2020-05-06T00:00:08.000Z","https://www.youtube.com/watch?v=ypRGEHBpQmw","00:03:12"
"No.4","英語","中学3年","2020-05-05T00:00:06.000Z","https://www.youtube.com/watch?v=q2-o7emI_Jg","00:04:58"
"No.3","英語","中学3年","2020-05-04T00:00:08.000Z","https://www.youtube.com/watch?v=DEVKOkB_L2w","00:05:00"
"No.2","英語","中学3年","2020-05-03T00:00:00.000Z","https://www.youtube.com/watch?v=4Da6QAlqYAI","00:04:21"
"No.1","英語","中学3年","2020-05-02T00:00:11.000Z","https://www.youtube.com/watch?v=K03ku0jHVNQ","00:05:45"
"『生命を維持するはたらき』P 14〜P21","理科","中学2年","2020-04-30T12:10:12.000Z","https://www.youtube.com/watch?v=vLnKOdEZsr0","00:11:58"
"『生命を維持するはたらき』","理科","中学2年","2020-04-28T05:26:37.000Z","https://www.youtube.com/watch?v=Xbv3w_hnPIA","00:13:42"
"『生物の体と細胞』","理科","中学2年","2020-04-23T05:54:56.000Z","https://www.youtube.com/watch?v=pla5EENkfX8","00:12:33"
