対象,科目,No,タイトル,公開日,URL,長さ
小学1年/小学2年/小学3年,体育,1,きけんはっけん!ストリート,2016-03-01T06:12:01.000Z,https://www.youtube.com/watch?v=zwBwvJphi4g,0:06:04
小学1年/小学2年/小学3年,体育,2,どちらがあんぜん?ストリート,2016-03-01T06:41:18.000Z,https://www.youtube.com/watch?v=wGJ3_0-gZbE,0:05:58
小学1年/小学2年/小学3年,体育,3,かくれたきけん!ストリート,2016-03-01T07:16:22.000Z,https://www.youtube.com/watch?v=7lgCQu6ACRU,0:07:22
小学1年/小学2年/小学3年,体育,4,じてんしゃのおやくそくストリート,2016-03-01T07:35:38.000Z,https://www.youtube.com/watch?v=i5vmgEhO5j4,0:03:39
小学1年/小学2年/小学3年,体育,5,大切なおねがい もし じこにあったら,2016-03-01T07:46:54.000Z,https://www.youtube.com/watch?v=kviYFyN1r-g,0:00:54
小学1年/小学2年/小学3年,体育,6,ふろく♪すわってダンス 止まる 見る まつ,2016-03-01T07:57:33.000Z,https://www.youtube.com/watch?v=YX8FFz_EKyc,0:02:14
小学4年/小学5年/小学6年,体育,1,ミッション1 事故の原因を考えよう,2016-03-01T13:57:37.000Z,https://www.youtube.com/watch?v=gQFnH_Evuk0,0:05:05
小学4年/小学5年/小学6年,体育,2,ミッション2 かくれた危険をクイズで考えよう,2016-03-01T15:46:40.000Z,https://www.youtube.com/watch?v=DBPEpV0t6EU,0:06:25
小学4年/小学5年/小学6年,体育,3,ミッション3 スピードで変わる危険を実験で見よう,2016-03-01T16:14:27.000Z,https://www.youtube.com/watch?v=mH__bv3nozc,0:03:53
小学4年/小学5年/小学6年,体育,4,ミッション4 自転車の交通ルールとマナーを学ぼう,2016-03-01T16:54:04.000Z,https://www.youtube.com/watch?v=QomcrI8T88g,0:06:09
小学4年/小学5年/小学6年,体育,5,大切なお願い もし 事故に遭ったら,2016-03-01T17:16:15.000Z,https://www.youtube.com/watch?v=If3ggK9UgTE,0:00:40
小学4年/小学5年/小学6年,体育,6,ふろく ♪ラップで覚える自転車安全利用五則,2016-03-01T17:51:07.000Z,https://www.youtube.com/watch?v=ow5aTjkUEY0,0:02:24
大人,体育,,交通安全教育ＤＶＤ「保護者編」,2016-03-02T02:54:40.000Z,https://www.youtube.com/watch?v=PSxRPNoq7Us,0:13:18
