"対象","科目","タイトル","公開日","URL","長さ"
"小学２年","算数","かけざん","2020-04-20T23:45:17.000Z","https://www.youtube.com/watch?v=u3UjyIbdQnU","00:09:28"
"小学生",,"特別編　0について","2020-04-18T10:35:46.000Z","https://www.youtube.com/watch?v=f4JwAnvsC-k","00:08:05"
"小学６年","算数","分数✖️整数","2020-04-14T11:58:31.000Z","https://www.youtube.com/watch?v=Cbtruk2_1xg","00:09:18"
"小学6年","算数","線対称点対称","2020-04-13T02:03:34.000Z","https://www.youtube.com/watch?v=qVBqT-cc-s4","00:09:25"
"小学4年","算数","角とその大きさ","2020-04-10T06:41:54.000Z","https://www.youtube.com/watch?v=f1lyt0P1oi0","00:09:24"
"小学生",,"おっぱっぴー小学校開校！海パン先生爆誕！","2020-04-09T01:06:40.000Z","https://www.youtube.com/watch?v=PHpl7p3lkqg","00:08:18"
"小学5年","算数","体積","2020-04-09T00:52:57.000Z","https://www.youtube.com/watch?v=-MAZ1Qs9EI8","00:07:14"
