"国語（２）","あいさつをしてみよう","https://youtu.be/Vm14jSPl5lE","小学１年","2020-04-20"
"国語（１）","こそあど言葉を使いこなそう","https://youtu.be/Z4bwQIfLcaM","小学３年","2020-04-20"
"外国語（２）","自己紹介（２）","https://youtu.be/0ODq7r0UP-Q","小学５年","2020-04-20"
"国語（２）","話す・聞く・書く","https://youtu.be/mw5uXm-E3UM","中学１年","2020-04-20"
"数学（２）","式の加法、減法","https://youtu.be/wlbLJL7M-xY","中学２年","2020-04-20"
"英語（２）","自分の国の紹介","https://youtu.be/0UX6TcuspTo","中学３年","2020-04-20"
"第１１回","３次式の展開と因数分解","https://youtu.be/w8NRs7_9z7g","福井県庁","2020-04-20"
"第１２回","循環小数を分数に直す","https://youtu.be/KJ0IzH7mgk4","福井県庁","2020-04-20"
"第１３回","絶対値","https://youtu.be/9OeFuNU-DpA","福井県庁","2020-04-20"
"第４回","辞書の活用法","https://youtu.be/mpVcse3WLxs",,"2020-04-20"
"第５回","現在形と現在進行形","https://youtu.be/BVLTd7L6MFc",,"2020-04-20"
