"タイトル","公開日","URL","長さ","ptitle","playlistId"
"【2020/3/28】生配信 〜中田が300万人登録を目指す理由とは〜","2020-03-28T04:53:32.000Z","https://www.youtube.com/watch?v=WzXf_v-sBDk","01:07:06","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/27】生配信 〜公開！中田のYouTube大学オススメ動画は〇〇〜","2020-03-27T03:33:38.000Z","https://www.youtube.com/watch?v=T347abxXaUU","00:45:49","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/26】生配信 〜中田が選ぶジブリ作品１位は〇〇〜","2020-03-26T03:09:10.000Z","https://www.youtube.com/watch?v=hfSWTouueIA","01:03:13","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/25】生配信 〜受験勉強は〇〇が大事〜","2020-03-25T03:27:51.000Z","https://www.youtube.com/watch?v=xsFEkDTkpwQ","00:57:30","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/24】生配信 〜今夜オンエアの宮迫さんとのコラボ、大丈夫？〜","2020-03-24T04:17:20.000Z","https://www.youtube.com/watch?v=VS0BNm5rkUQ","01:00:37","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/23】生配信 〜完璧な◯◯が勉強効率を上げる〜","2020-03-23T04:02:14.000Z","https://www.youtube.com/watch?v=BhUk8QTLeq4","00:56:25","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/22】生配信 〜200万人登録！皆様のおかげです！〜","2020-03-22T08:19:54.000Z","https://www.youtube.com/watch?v=GnZUTvwaAbA","01:02:33","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/21】生配信 〜盗作？オリンピック都市伝説〜","2020-03-21T11:51:08.000Z","https://www.youtube.com/watch?v=lS2oHCplJ7c","01:02:50","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/20】生配信 〜言いたいことが言えないあなたに〜","2020-03-20T03:15:26.000Z","https://www.youtube.com/watch?v=Yg94xadA9CI","01:01:35","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/19】生配信 〜モチベーションを上げるには○○へ行くべし〜","2020-03-19T10:01:19.000Z","https://www.youtube.com/watch?v=b-9KeVasVP0","01:00:50","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【2020/3/18】初の生配信！ 〜メンタリストDaiGoさんはやはり凄い〜","2020-03-18T03:08:41.000Z","https://www.youtube.com/watch?v=UNTjE2E0HVc","01:00:46","生配信","PL4fCcsGH1K_i--majR8ltcIDY8-A-DBzo"
"【中田敦彦vs田口淳之介①】〜立ち上がる貴族〜【XENO】","2020-04-16T09:30:42Z","https://www.youtube.com/watch?v=NkoFaBPaFzI","00:19:09","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vs田口淳之介②】〜真実の顔〜【XENO】","2020-04-17T08:24:36Z","https://www.youtube.com/watch?v=y3-TKw0ihOs","00:19:55","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vs宮迫博之①】〜降りしきる雨〜【XENO】","2020-04-02T08:59:09Z","https://www.youtube.com/watch?v=-Gf5DGqI9BI","00:21:04","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vs宮迫博之②】〜白か黒か もしくは〜【XENO】","2020-04-03T08:18:51Z","https://www.youtube.com/watch?v=pYykPa4m7mU","00:23:28","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vs伊沢拓司①】 〜完璧な挑戦者〜【XENO】","2020-03-20T12:19:41Z","https://www.youtube.com/watch?v=t_-IVeONOJc","00:26:17","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vs伊沢拓司②】 〜芸術の領域〜【XENO】","2020-03-21T09:47:35Z","https://www.youtube.com/watch?v=aLu1DfPzKn4","00:15:47","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vs堀江貴文①】 〜戯れる鬼〜【XENO】","2020-02-24T10:39:50Z","https://www.youtube.com/watch?v=vILzGAtuXd4","00:19:19","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vs堀江貴文②】〜逝ってらっしゃい〜【XENO】","2020-02-25T10:57:55Z","https://www.youtube.com/watch?v=3fIqhx7bRRk","00:10:00","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vsヒカル①】〜強運のカリスマ〜【XENO】","2020-02-11T08:02:58Z","https://www.youtube.com/watch?v=iJg5Mt6g3Rw","00:26:04","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vsヒカル②】 〜嘘という光〜【XENO】","2020-02-12T10:01:14Z","https://www.youtube.com/watch?v=VLcCDL5hNGU","00:12:45","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vsDaiGo①】〜異能の心眼〜【XENO】","2019-12-26T13:47:45Z","https://www.youtube.com/watch?v=fnO_4f-kU7U","00:19:23","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【中田敦彦vsDaiGo②】 〜原点にして頂点〜【XENO】","2019-12-27T13:43:39Z","https://www.youtube.com/watch?v=Sz8mCMC5owg","00:23:15","XENO ~the card game~","PL4fCcsGH1K_gFQj_2-GDPAi_DiJGOyca2"
"【東京五輪延期①】オリンピックの光と影","2020-03-31T09:36:44.000Z","https://www.youtube.com/watch?v=dzFgu65UcKM","00:24:37","政治・社会","PL4fCcsGH1K_hkvdwO_WATvR8muUF-gHuS"
"【東京五輪延期②】2021年の東京オリンピックは一体どうなる？","2020-04-01T08:50:58.000Z","https://www.youtube.com/watch?v=UHjEPjHnKmo","00:27:32","政治・社会","PL4fCcsGH1K_hkvdwO_WATvR8muUF-gHuS"
"【世界を変えた感染症の歴史①】〜想像を絶する人類の戦い〜","2020-03-29T09:46:04.000Z","https://www.youtube.com/watch?v=hv5M4183oF4","00:20:39","政治・社会","PL4fCcsGH1K_hkvdwO_WATvR8muUF-gHuS"
"【世界を変えた感染症の歴史②】〜感染症を正しく恐れるために歴史に学ぶ〜","2020-03-30T04:25:40.000Z","https://www.youtube.com/watch?v=eljJLc9Fpq8","00:26:57","政治・社会","PL4fCcsGH1K_hkvdwO_WATvR8muUF-gHuS"
"【未来予測①】2030年の世界","2020-03-26T23:56:36.000Z","https://www.youtube.com/watch?v=hvn0_SkJlLM","00:19:47","政治・社会","PL4fCcsGH1K_hkvdwO_WATvR8muUF-gHuS"
"【未来予測②】2030年の世界","2020-03-26T23:56:48.000Z","https://www.youtube.com/watch?v=IKW_OfnM2-s","00:18:51","政治・社会","PL4fCcsGH1K_hkvdwO_WATvR8muUF-gHuS"
"【未来予測③】2030年の世界","2020-03-26T23:56:56.000Z","https://www.youtube.com/watch?v=qxI2zuIkQns","00:19:32","政治・社会","PL4fCcsGH1K_hkvdwO_WATvR8muUF-gHuS"
"【FACTFULNESS①】データを基に世界を正しく見る　〜ビル・ゲイツやオバマ元大統領が大絶賛した名著","2020-03-26T23:57:13.000Z","https://www.youtube.com/watch?v=zGKLgcTn7YY","00:28:17","政治・社会","PL4fCcsGH1K_hkvdwO_WATvR8muUF-gHuS"
