タイトル,公開日,URL,長さ,ptitle,playlistId,有効
学生という武器を使わない手はない【はいちのだらだラジオ/303回】,2020-03-05T07:00:47.000Z,https://www.youtube.com/watch?v=-3_-W1Y22d8,0:08:33,だらだラジオ(2020年),PLKRhhk0lEyzOI1lNTptC8kj53CnF4FAeR,0
【教育YouTuberが歌う】3月9日/レミオロメン,2020-03-05T06:09:57.000Z,https://www.youtube.com/watch?v=auNid4RP-BQ,0:04:23,【1年に1度の歌ってみた】,PLKRhhk0lEyzMCkKwuv0hBr3Rj7DjjAFUc,0
【高校受験対策/数学/難解死守1】,2020-01-19T09:39:18.000Z,https://www.youtube.com/watch?v=XI3xN57xT-k,0:19:58,高校受験対策-数学10【難解死守】,PLKRhhk0lEyzM3HJqYr0bpg8x5cp9qwIpt,
【社会】　　地理－２８　　時差について,2019-11-22T06:39:19.000Z,https://www.youtube.com/watch?v=knyYhP1SVM4,0:16:19,時差に悩んでいる方はこちら,PLKRhhk0lEyzPc1OCVPmKsRAbmdazIVBmL,
【数Ⅲ-133】不定積分①(準備運動編),2019-05-21T07:21:20.000Z,https://www.youtube.com/watch?v=UR_0KBx914k,0:12:58,高校(数Ⅲ)5【積分】,PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu,
凡人だけど凡人だから【はいちのだらだラジオ/270回】,2019-01-13T10:51:30.000Z,https://www.youtube.com/watch?v=5mwVOzLl5eQ,0:12:42,だらだラジオ(2019年),PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4,0
【予告】冬期講習始まります,2018-12-28T19:08:27.000Z,https://www.youtube.com/watch?v=9S-c7JXBioQ,0:01:43,【冬期講習/2018-2019】,PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG,0
【生勉強/24:00まで】一緒に勉強しませんか？,2018-09-20T02:48:55.000Z,https://www.youtube.com/watch?v=cfDFHUmG5vY,1:00:36,【生勉強】一緒に勉強しませんか？,PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa,0
【ガイダンス】高校受験対策(歴史)について,2018-09-06T09:11:17.000Z,https://www.youtube.com/watch?v=VDxP2OUrE-Y,0:05:10,高校受験対策 歴史,PLKRhhk0lEyzNa3QmWDAw57-lOJJkP3zWG,
四大文明1(5問)【歴史1/さくっ答シリーズ】,2018-07-22T00:57:47Z,https://www.youtube.com/watch?v=5M8wY8FBeXE,0:01:08,【歴史/さくっ答シリーズ】,PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk,
