タイトル,公開日,URL,長さ,ptitle,playlistId,有効
【時事問題】2018.5月後半①,2018-06-01T06:27:08Z,https://www.youtube.com/watch?v=ImGk8xtKL1I,0:09:21,【時事問題】,PLKRhhk0lEyzPergDo1wKTC-Ty00hT5l6M,
【高校数学】数Ⅲ-90 微分とは？,2018-05-01T05:56:25.000Z,https://www.youtube.com/watch?v=-2INkZNSjOg,0:11:26,高校(数Ⅲ)4【微分】,PLKRhhk0lEyzNmS6Zp2s1heqFEoop6oRbD,
33歳のスタート！【ドラムを習う#1】,2018-04-27T07:59:59.000Z,https://www.youtube.com/watch?v=SMJTvI06350,0:07:22,ドラムを習う,PLKRhhk0lEyzPfs57g7o5Cvig81_0YMmeG,0
【テスト対策 中2】6章-1,2018-02-07T08:19:44.000Z,https://www.youtube.com/watch?v=ADdgaKpNZsU,0:08:09,テスト対策 中2-6章【確率】,PLKRhhk0lEyzNbQlAp3HqrW97QZZCx1RHG,
"""君の膵臓をたべたい""を32歳♂が読んでみた",2018-02-01T07:03:26.000Z,https://www.youtube.com/watch?v=Guqv9MnVInE,0:06:06,読書,PLKRhhk0lEyzN467DoQluC0XbAjNSNUGvR,
【テスト対策 中3】7章-1,2018-01-29T05:31:42.000Z,https://www.youtube.com/watch?v=2uzE7d8M8Io,0:11:42,テスト対策 中3-7章【三平方の定理】,PLKRhhk0lEyzP981H3Lkjn9MvsqUHCe5x6,
はじめしゃちょーと受験や勉強について話してみた【コラボ】,2018-01-26T06:22:47.000Z,https://www.youtube.com/watch?v=w3yogTE18aY,0:16:11,数少ないコラボ動画,PLKRhhk0lEyzPn1VG5Yo9CS0jltF9WnvUU,0
ルービックキューブ3日練習した結果【父ちゃんの戦い】,2018-01-26T06:20:19.000Z,https://www.youtube.com/watch?v=54m660f6HWY,0:05:07,父ちゃんの戦い,PLKRhhk0lEyzNEyg7lbIWm7Y1SXht-kOv4,0
2018年の目標発表！,2018-01-08T10:11:57Z,https://www.youtube.com/watch?v=C-BpHTc6xY0,0:12:47,だらだラジオ(2018年),PLKRhhk0lEyzOWvfa_OKeARH3U8tvUcUU9,0
【高校受験対策】理科(実験 鉄+硫黄),2017-11-10T05:04:42.000Z,https://www.youtube.com/watch?v=vCmT2Fznk18,0:15:39,高校受験対策 理科,PLKRhhk0lEyzOdZvIaGHeCWWYkowFYm9NJ,
休日にダラダラしちゃう…【プチ相談】,2017-11-02T11:02:30.000Z,https://www.youtube.com/watch?v=cu3ur7WPvFo,0:02:14,プチ相談,PLKRhhk0lEyzMpJ-79vw2T3Eqo7y2XEvJz,0
【テスト対策 中1】6章-1,2017-10-25T05:50:39.000Z,https://www.youtube.com/watch?v=cUFzxJN93is,0:13:42,テスト対策 中1-6章【空間図形】,PLKRhhk0lEyzOFbZZ3Dn28fNdi71TOZ4Ef,
【テスト対策 中3】6章-1,2017-10-17T06:20:41.000Z,https://www.youtube.com/watch?v=vtELfkAbusA,0:15:39,テスト対策 中3-6章【円周角の定理】,PLKRhhk0lEyzNSjmXEr9w2wJXn3CNYRHCy,
【テスト対策 中1】5章-1,2017-10-05T06:57:07.000Z,https://www.youtube.com/watch?v=sHQmDrXYErY,0:09:24,テスト対策 中1-5章【平面図形】,PLKRhhk0lEyzOHyMOvRoDxSKq96uzFwikp,
【テスト対策 中2】5章-1,2017-09-25T09:31:03.000Z,https://www.youtube.com/watch?v=UHTl0DwwSDM,0:12:46,テスト対策 中2-5章【図形の性質と証明】,PLKRhhk0lEyzO3loyFzlB_PxlBbMC8VeRz,
【テスト対策 中3】5章-1,2017-09-07T04:09:59.000Z,https://www.youtube.com/watch?v=z4IglKfXeAY,0:08:39,テスト対策 中3-5章【相似】,PLKRhhk0lEyzOpnhFEcfHRs1g71hMVtgRG,
【高校数学】数Ⅲ-50 分数関数とそのグラフ①,2017-08-12T03:48:27.000Z,https://www.youtube.com/watch?v=X4FdYuQwtIc,0:11:58,高校(数Ⅲ)3【関数と極限】,PLKRhhk0lEyzO70D8s79EzcZJ004hQbKw7,
【テスト対策 中1】4章-1,2017-08-02T06:59:56.000Z,https://www.youtube.com/watch?v=ycAGP4KFazY,0:13:02,テスト対策 中1-4章【比例 反比例】,PLKRhhk0lEyzPYgdVgEq70QnrFprVRy0Ch,
【テスト対策・中２】４章－１,2017-07-27T02:53:00Z,https://www.youtube.com/watch?v=o5XVmRVclwM,0:15:11,テスト対策 中2-4章【多角形の角】,PLKRhhk0lEyzOKjqVjcyfTAjGXHJGL4t5F,
【リクエスト料理】簡単な生チョコ作ってみた♪,2017-07-12T07:10:06Z,https://www.youtube.com/watch?v=T_LoC9u6FDU,0:24:42,【料理】,PLKRhhk0lEyzPdhnWhc-dELxrpooQYY96D,
クリエイターの裏事情〜とある男が授業をしてみた〜 前編,2017-07-05T12:58:31.000Z,https://www.youtube.com/watch?v=rlassRE8bXo,0:06:19,再生リスト,PLKRhhk0lEyzMCvSXHXjFDyF3boXjd27QY,0
【テスト対策・中３】４章－１,2017-09-04T04:50:32Z,https://www.youtube.com/watch?v=tjCYN7NBPd0,0:07:43,テスト対策 中3-4章【2次関数】,PLKRhhk0lEyzMz7UgvgK1rXUIM4KpRGQm8,
【休み時間】四つ葉のよつ子　#1,2017-07-02T06:34:15.000Z,https://www.youtube.com/watch?v=rJjtkM1Ih1M,0:04:43,休み時間,PLKRhhk0lEyzMu9m642TXRASFmZZElAZfU,0
【テスト対策・中１】３章－１,2017-07-02T06:22:53Z,https://www.youtube.com/watch?v=eiC-R_k8v8w,0:13:52,テスト対策 中１-3章【方程式】,PLKRhhk0lEyzOazlmly-au6vMDTgZKwD0x,
【テスト対策・中２】３章－１,2017-06-28T07:14:57.000Z,https://www.youtube.com/watch?v=1KkDdcHTgs8,0:11:06,テスト対策 中2-3章【1次関数】,PLKRhhk0lEyzOBjZ8f-bKnu15pv0NAC0XQ,
【テスト対策・中３】３章－１,2017-06-14T00:49:38.000Z,https://www.youtube.com/watch?v=Fli6EKZtXd8,0:15:16,テスト対策 中3-3章【2次方程式】,PLKRhhk0lEyzPCh1EyeG7EaD634hye3FAR,
【テスト対策・中２】２章－１,2017-06-08T07:12:02.000Z,https://www.youtube.com/watch?v=vjbooTHmoCY,0:16:22,テスト対策 中2-2章【連立方程式】,PLKRhhk0lEyzMvYLUL22S5xnyGG9Brg0QR,
【テスト対策・中１】２章－１,2017-06-08T07:09:12.000Z,https://www.youtube.com/watch?v=u3Nl3YMOUjg,0:11:01,テスト対策 中1-2章【文字の式】,PLKRhhk0lEyzNjQXM6vILNhrmDqW0f46Lc,
【テスト対策・中３】２章－１,2017-05-20T05:00:59.000Z,https://www.youtube.com/watch?v=gNfclr6M4Hw,0:11:42,テスト対策 中3-2章【平方根】,PLKRhhk0lEyzNon-VuWzW593BQSOlsHYaj,
【新シリーズ】テスト対策について,2017-05-09T06:50:14.000Z,https://www.youtube.com/watch?v=B3QeU0yoRCo,0:05:33,テスト対策 中3-1章【式の展開と因数分解】,PLKRhhk0lEyzMsnel53RlfwjIkweoVm8nE,
【新シリーズ】テスト対策について,2017-05-05T04:18:56.000Z,https://www.youtube.com/watch?v=B3QeU0yoRCo,0:05:33,テスト対策 中2-1章【式の計算】,PLKRhhk0lEyzMVWilIBNWRHaBwIpR-H47U,
【新シリーズ】テスト対策について,2017-05-01T06:19:55.000Z,https://www.youtube.com/watch?v=B3QeU0yoRCo,0:05:33,テスト対策 中1-1章【正の数・負の数】,PLKRhhk0lEyzOrMudKKPREAPjftJoN0S2E,
【高校数学】数Ⅲ－２２　放物線①,2017-04-19T05:59:46.000Z,https://www.youtube.com/watch?v=3KrPO3p8QdM,0:12:35,高校(数Ⅲ)2【平面上の曲線】,PLKRhhk0lEyzN8TugU4WXzKiBt9FfN10yU,
講演会のダイジェスト映像,2017-04-10T05:28:19Z,https://www.youtube.com/watch?v=rFXKMapgCm8,0:08:10,顔出しでいろいろ話したやつ,PLKRhhk0lEyzMObYT8WSzYQsgXDHDetCCe,0
【15分】一緒に勉強しませんか？,2017-04-14T05:05:53.000Z,https://www.youtube.com/watch?v=-hpL3Vly0Co,0:16:25,一緒に勉強しようシリーズ,PLKRhhk0lEyzN98FP_BB-bAkSJxDIzXhxe,0
【高校数学】数Ⅲ－１　複素数平面・共役な複素数①,2017-03-17T17:33:59.000Z,https://www.youtube.com/watch?v=Bm_hHj1XOno,0:08:04,高校(数Ⅲ)1【複素数平面】,PLKRhhk0lEyzPuv8ioSSdT82xT5DlIBdmR,
【高校受験対策】理科－電気１,2017-04-10T05:20:57.000Z,https://www.youtube.com/watch?v=pVvoVS8AaP4,0:17:49,高校受験対策-理科 5【電気】,PLKRhhk0lEyzM3QlOL_PEPPQWFzu_GCktX,
【2017年・新年の挨拶】,2017-01-24T05:36:09.000Z,https://www.youtube.com/watch?v=FUj9iLuN-2Q,0:09:49,だらだラジオ(2017年),PLKRhhk0lEyzMBl4GhxjIL-H4l2hUGZHZF,0
【高校受験対策】理科－死守１,2017-01-24T05:32:45Z,https://www.youtube.com/watch?v=ivZ3iozjI0U,0:18:53,高校受験対策-理科【死守】,PLKRhhk0lEyzMnucLc7F2D87OPxsSa_DDA,
【古文－１】歴史的仮名遣い①,2016-11-15T04:14:09.000Z,https://www.youtube.com/watch?v=j-dfsuzmecM,0:10:43,国語－古文,PLKRhhk0lEyzMV4fvp0BqKMIZnQUm4SLmn,
【高校受験対策】死守－１,2016-10-26T05:10:36.000Z,https://www.youtube.com/watch?v=8hFdLe20Qm8,0:16:15,高校受験対策-数学 9【死守】,PLKRhhk0lEyzMBSLm-WeiUNQj-6yYyPlP2,
【きっかけ英熟語－１】,2016-09-06T05:17:45.000Z,https://www.youtube.com/watch?v=FRMe1YRIkTE,0:10:08,きっかけ英熟語(中学),PLKRhhk0lEyzP_-TBP4L5HcGwH4tMo7dbw,
【英語並び替え－１】,2016-08-25T06:38:41.000Z,https://www.youtube.com/watch?v=1c3bi6izI1k,0:15:52,英語並び替え,PLKRhhk0lEyzMp90fTGLKI2NG_R1oqU5l8,
【受験対策】数学－証明１,2016-08-03T03:34:09.000Z,https://www.youtube.com/watch?v=6nCy8dxo-8g,0:13:10,高校受験対策-数学 8【証明】,PLKRhhk0lEyzONV8GbBJ4_OBiiBppMq3hn,
【中１ P.26】正負の数の計算特訓①,2016-07-04T13:34:30.000Z,https://www.youtube.com/watch?v=a0q6p6jNqhU,0:10:18,【参考書用】,PLKRhhk0lEyzO1SZKTIPvqXwy_dV5fmwNq,0
【きっかけ英単語－０】動画の使い方,2016-06-22T02:49:12Z,https://www.youtube.com/watch?v=KXG_lqTD-CA,0:03:38,きっかけ英単語(中学),PLKRhhk0lEyzPKCEHUt1SzIADYbim-Xns5,
【高校数学】　数A－６５　約数と倍数①,2016-05-23T03:30:02.000Z,https://www.youtube.com/watch?v=OGG_E0jDPTU,0:11:33,高校(数A)3【整数の性質】,PLKRhhk0lEyzOK3KOmh3vDSXgnHV02uGEU,
【高校数学】　数A－３３　内分・外分①,2016-04-08T06:04:53Z,https://www.youtube.com/watch?v=ZvMd3hvXFKI,0:10:10,高校(数A)2【図形の性質】,PLKRhhk0lEyzNAxSGyTd9Tn5_i_J1FeKBZ,
【高校数学】　数B－１０１　確率分布と確率変数①,2016-03-09T09:17:31.000Z,https://www.youtube.com/watch?v=JwtOopzF4AA,0:11:38,高校(数B)4【確率分布と統計的な推測】,PLKRhhk0lEyzPnSzscR31DnkmKnjQECd6y,
【高校数学】　数B－５６　数列とは？,2016-01-20T03:32:44.000Z,https://www.youtube.com/watch?v=nAYz4q9nocQ,0:17:20,高校(数B)3【数列】,PLKRhhk0lEyzMMf8ciwKijQV83_rnFRZFS,
【はいちのだらだラジオ】第124回－センター試験 １日目の夜,2016-01-10T07:31:28Z,https://www.youtube.com/watch?v=gv3fVLV7wJ4,0:15:36,だらだラジオ(2016年),PLKRhhk0lEyzO9cvH_2quB__7QurLyKNlP,0
【高校数学】　数B－３５　空間の点の座標,2015-12-28T06:11:46Z,https://www.youtube.com/watch?v=qvem49UTOWo,0:15:03,高校(数B)2【空間のベクトル】,PLKRhhk0lEyzOjkaoahCaVb4ZAeyuRE5Le,
【高校数学】　数B－１　有向線分とベクトル,2015-11-17T08:16:56.000Z,https://www.youtube.com/watch?v=ci9qxK4lbIY,0:08:09,高校(数B)1【平面上のベクトル】,PLKRhhk0lEyzMG7ooVS3Dz2v1xIdICefcj,
【高校数学】　数Ⅱ－１４４　微分係数と導関数①,2015-10-03T00:26:58Z,https://www.youtube.com/watch?v=G5TjwTbCZRo,0:08:11,高校(数Ⅱ)6【微分法と積分法】,PLKRhhk0lEyzOUMnGSmJf9x5OmiyoDvu_k,
【高校数学】　数Ⅱ－１２３　指数の拡張①,2015-09-09T06:27:34.000Z,https://www.youtube.com/watch?v=f1lSc9Du1BE,0:10:49,高校(数Ⅱ)5【指数関数・対数関数】,PLKRhhk0lEyzOU6a5LOPrEs7Uw2EGFCvrG,
【受験対策】数学－資料の活用①,2015-08-09T14:20:51Z,https://www.youtube.com/watch?v=CQ8TySLdbTE,0:08:17,高校受験対策-数学 7【資料の活用】,PLKRhhk0lEyzPNOQeYMuSIQw36nSjhsXXM,
【高校数学】　数Ⅱ－８７　一般角と弧度法,2015-07-25T04:56:46.000Z,https://www.youtube.com/watch?v=9ycBAKdCU-U,0:13:31,高校(数Ⅱ)4【三角関数】,PLKRhhk0lEyzMnEvm0BL-A8hPwJcQW75yt,
【高校数学】　数Ⅱ－５１　点と直線①,2015-06-11T06:04:54Z,https://www.youtube.com/watch?v=9EMR8fUIcIQ,0:12:03,高校(数Ⅱ)3【図形と方程式】,PLKRhhk0lEyzOrTRSwD7dibI12YMBr5e8B,
【受験対策】　数学－小問①,2015-05-29T06:53:56Z,https://www.youtube.com/watch?v=tYO-aiPP35U,0:12:30,高校受験対策-数学 6【小問集合】,PLKRhhk0lEyzMmNwAJyn1FQsKIDYrmhOwv,
【高校数学】　数Ⅱ－２３　複素数①,2015-05-08T02:59:43Z,https://www.youtube.com/watch?v=AAlDMNTG61w,0:09:07,高校(数Ⅱ)2【複素数と方程式】,PLKRhhk0lEyzM-IQOAPB4i95-UqrUNZYGz,
【卒業記念動画 － 2014年3月卒業】 Part.1,2015-04-20T01:45:06.000Z,https://www.youtube.com/watch?v=fbijWccWB1Y,0:07:13,【卒業記念動画】,PLKRhhk0lEyzML9CbU2M4qReIk_eTwmBLS,0
【高校数学】　　数Ⅱ－１　３次式の展開と因数分解,2015-04-02T05:29:24Z,https://www.youtube.com/watch?v=6uw5wv36iyc,0:14:50,高校(数Ⅱ)1【式と証明】,PLKRhhk0lEyzNuBlgakg5tvN6AN8cH3UdD,
【国語】　　文法－１　　言葉の単位,2015-01-02T14:35:07Z,https://www.youtube.com/watch?v=yO6iUPCfLGs,0:06:09,国語－文法,PLKRhhk0lEyzM-XOmo9F55BoRlPSSivcVd,
【はいちのだらだラジオ】　　第６７回 － 2015年の目標と抱負,2015-01-02T14:35:29.000Z,https://www.youtube.com/watch?v=dAPC50lm1MQ,0:09:21,だらだラジオ（2015年）,PLKRhhk0lEyzMbYuMqig0PtkR0e-QzytdA,0
【高校数学】　　数Ⅰ－７６　　三角比①　・　基本編,2014-10-08T02:55:22Z,https://www.youtube.com/watch?v=5H1l1qkJ-XQ,0:10:27,高校(数Ⅰ)3【三角比】,PLKRhhk0lEyzOfDE8u9U0GWX3aa43XeMOr,
【高校数学】数Ⅰ-35 ２次関数①,2014-07-26T04:30:46.000Z,https://www.youtube.com/watch?v=pqnsuk3FoRQ,0:08:43,高校(数Ⅰ)2【２次関数・２次方程式・２次不等式】,PLKRhhk0lEyzNXjYxLcVJBDQMnGQ9EJDEJ,
【社会】　　地理－１　　六大陸と三大洋,2014-07-10T05:29:54.000Z,https://www.youtube.com/watch?v=9fn6V5mgZ08,0:07:48,社会－地理,PLKRhhk0lEyzNL16R6JLDmOlO2EoSGJme1,
【高校数学】　　数A－１　　集合①,2014-04-23T03:39:32Z,https://www.youtube.com/watch?v=ZNleTg25fl0,0:13:05,高校(数A)1【場合の数と確率】,PLKRhhk0lEyzPV58dAXzmfZle_wg03CLhl,
【社会】　　公民－１　　グローバル化,2014-03-25T05:30:11.000Z,https://www.youtube.com/watch?v=cTl8O6nhVNk,0:08:32,社会－公民,PLKRhhk0lEyzPclwzQGnU0hP9MkyfemfZq,
【高校数学】数Ⅰ-1 係数と次数,2014-03-01T04:13:26Z,https://www.youtube.com/watch?v=GM7YXAkW__4,0:11:01,高校(数Ⅰ)１【数と式】,PLKRhhk0lEyzPMeQ0iNLn47B-9a2qivmmU,
【受験対策】　　数学－確率①,2014-01-28T05:55:33Z,https://www.youtube.com/watch?v=pRSXI7nRgHU,0:17:16,高校受験対策-数学 5【確率】,PLKRhhk0lEyzMgeJkYIO2xLpkg3mWFrOdo,
【社会】歴史-1 人類の出現と進化,2014-01-27T03:45:19.000Z,https://www.youtube.com/watch?v=-cY6RkJp2jY,0:09:48,社会－歴史,PLKRhhk0lEyzOjwgG2CGJGKmfVn4JDEg4F,
【みんなの知識】　　理科－ゴロ合わせ①,2014-01-20T04:55:58.000Z,https://www.youtube.com/watch?v=HQJUAeq2PD8,0:14:10,みんなの知識,PLKRhhk0lEyzMw-nYngbY179bAOfj9bChQ,0
【受験対策】　　理科－運動①,2014-01-20T04:55:51.000Z,https://www.youtube.com/watch?v=CsVMd5B8bR8,0:13:55,受験対策－理科　３　【運動】,PLKRhhk0lEyzPJWeXJJ6QsBl28bLtdFY5C,
【受験対策】　　数学－文章題①,2014-01-11T02:31:36.000Z,https://www.youtube.com/watch?v=gR90FUxj7rk,0:22:35,高校受験対策-数学 4【文章題】,PLKRhhk0lEyzMT9hRpxuFG5n1q5jmGxEvy,
【受験対策】　　理科－地震①,2014-01-07T01:52:02.000Z,https://www.youtube.com/watch?v=TfI5WK1-1Zw,0:12:26,受験対策－理科　２　【地震】,PLKRhhk0lEyzNQRU-_Ix92T6ayaRjMuyJ9,
【受験対策】　　理科－実験①,2014-01-06T04:03:23Z,https://www.youtube.com/watch?v=CbhxhRWb9jU,0:13:52,受験対策－理科　１　【実験】,PLKRhhk0lEyzOBjdgQ6RizxrvuL6oB3xMO,
【受験対策】　　数学－図形①,2014-01-02T02:11:30.000Z,https://www.youtube.com/watch?v=_lU-eH0R5O0,0:18:13,高校受験対策-数学 3【図形】,PLKRhhk0lEyzP0RaOgpe8BFZ-gMorril43,
【はいちのだらだラジオ】　　第１回－突然どうしちゃったの？,2013-12-30T14:29:54.000Z,https://www.youtube.com/watch?v=MFac5vp877g,0:06:14,だらだラジオ(2013年&2014年),PLKRhhk0lEyzM_B6Qxi7KiWJY3GITS5QGu,0
【受験対策】　　数学－規則性①,2013-12-30T00:39:47.000Z,https://www.youtube.com/watch?v=wkVwwAk3SKA,0:12:35,高校受験対策-数学 2【規則性】,PLKRhhk0lEyzNubg9K-h4g_4fUIHGDfQhH,
【高校受験対策/数学/関数1】交点→面積（王道パターン）,2013-12-28T01:53:41.000Z,https://www.youtube.com/watch?v=4qLnfBcEqbs,0:24:21,高校受験対策-数学 1【関数】,PLKRhhk0lEyzPMVJzitYzuB7Jjh8ZVS_7D,
【数学】中3-71 標本調査①(基本編),2013-12-23T14:01:57.000Z,https://www.youtube.com/watch?v=ukcP0aNS5sA,0:10:05,中3-数学 8【標本調査】,PLKRhhk0lEyzMNHZ2FZ5Xijzqa9MMh2GKA,
【中３　理科】　　中３－５２　　生態系とは？,2013-11-23T00:45:18.000Z,https://www.youtube.com/watch?v=5R6Yxi_HxMU,0:08:53,中3-理科 6【自然と人間】,PLKRhhk0lEyzMQBfh3mB56SYD5d-F1w6Mc,
【数学】中3-61 三平方の定理①(基本編),2013-11-11T03:00:40.000Z,https://www.youtube.com/watch?v=IvR5AE0PP4I,0:09:07,中3-数学 7【三平方の定理】,PLKRhhk0lEyzNDyVcVNf87iPbwCcU0qIS1,
【中３　理科】　　中３－４３　　エネルギーの移り変わり,2013-10-24T03:42:58.000Z,https://www.youtube.com/watch?v=wDb65nzwG78,0:06:46,中3-理科 5【いろいろなエネルギー】,PLKRhhk0lEyzMngJtl8O88UGuVbUASgTF7,
【数学】中3-56 円周角の定理①(基本編),2013-10-21T02:11:19.000Z,https://www.youtube.com/watch?v=1Ebj4iv2ZIM,0:11:02,中3-数学 6【円周角の定理】,PLKRhhk0lEyzOjuvtn9cgNL36OjRmsEzMY,
【中２　理科】　　中２－４６　　電磁石のまわりの磁界,2013-10-16T01:30:34Z,https://www.youtube.com/watch?v=nA5yQJSuZjs,0:08:17,中2-理科 4【磁界】,PLKRhhk0lEyzNt2lHxY6xB6D7RYlxUYbYd,
【数学】中2-45 対頂角 同位角 錯角① 基本編,2016-04-12T11:28:39Z,https://www.youtube.com/watch?v=SIRmSUBYlxQ,0:11:53,中2-数学 4【多角形の角】,PLKRhhk0lEyzNmrij5aN8isV4fDaAqpQxm,
【中1 数学】中1-64 直線と角① ~基本編~,2013-11-29T03:30:34.000Z,https://www.youtube.com/watch?v=bGZ8Y2aLTVM,0:08:20,中1-数学 5【平面図形】,PLKRhhk0lEyzMV6yCaqh4T7I6FxCojb0Sf,
【中1 数学】中1-44 関数って？,2013-10-07T05:26:30.000Z,https://www.youtube.com/watch?v=mdvzPpQ-B_Y,0:10:46,中1-数学 4【比例・反比例】,PLKRhhk0lEyzM1a4irN0r-Kj96uyAvli97,
【中１　理科】　　中１－４３　　日常生活のなかの力,2013-09-30T02:32:29.000Z,https://www.youtube.com/watch?v=oSJsXHiFc9M,0:10:24,中1-理科 4【力の世界】,PLKRhhk0lEyzPGabrd1F-9CQZ6ugoZMKP9,
【中１　理科】　　中１－３４　　ものの見え方,2013-09-26T01:59:04.000Z,https://www.youtube.com/watch?v=6LX_tIK9CcA,0:08:00,中1-理科 3【光と音】,PLKRhhk0lEyzOx6adEt0lqu26823KgSvwX,
【ハムスター】　きなこ、掘る！,2013-09-13T13:21:17.000Z,https://www.youtube.com/watch?v=SGxNZ1yfQv8,0:00:51,きなこの動画,PLKRhhk0lEyzM1UMQjZ-BVuWXtsNYd3R4A,0
【数学】中3-43 相似って？,2013-09-12T02:40:01.000Z,https://www.youtube.com/watch?v=LE-rh8u31Ak,0:09:22,中3-数学 5【相似】,PLKRhhk0lEyzOIDcWlViNT8TQkwwfeFbnl,
【中２　理科】　　中２－３５　　電気の利用,2013-08-29T06:40:01.000Z,https://www.youtube.com/watch?v=7iwvbtTybVs,0:09:12,中2-理科 3【電気の世界】,PLKRhhk0lEyzOU_KoaqfwbxKaXSGVpt3pJ,
【中1 数学】中1-26 方程式とその解,2013-08-17T04:24:23Z,https://www.youtube.com/watch?v=uEJWnqvan2A,0:10:38,中1-数学 3【方程式】,PLKRhhk0lEyzOIUFqARw8uZmjV-OTrozM1,
【中３　理科】　　中３－３２　　太陽ってこんなやつ,2013-08-11T05:45:05.000Z,https://www.youtube.com/watch?v=njUHVKsbgCM,0:09:39,中3-理科 4【地球と宇宙】,PLKRhhk0lEyzMz3HpEMN5PlORvz2ujlkrJ,
【数学】中3-33 二次関数って？,2013-07-27T05:41:20.000Z,https://www.youtube.com/watch?v=kKleYBvJBnU,0:12:37,中3-数学 4【二次関数】,PLKRhhk0lEyzNEQrb7I-2vMkl-o51BeGZP,
【数学】中2-27 一次関数って？,2013-07-16T04:41:00.000Z,https://www.youtube.com/watch?v=UzBWs_fLEzE,0:12:48,中2-数学 3【一次関数】,PLKRhhk0lEyzNPyjeuuGXnvN04gsCBzb4i,
【イントロダクション】中3数学-二次方程式,2019-10-14T06:07:51.000Z,https://www.youtube.com/watch?v=DqGrCXmWdzI,0:00:36,中3-数学 3【二次方程式】,PLKRhhk0lEyzMVzhBzv4XtcJFYyFcs4IPi,
【理科】中1-17 身のまわりの物質,2013-06-12T03:26:57Z,https://www.youtube.com/watch?v=xoF7nt0Yb-M,0:06:23,中1-理科 2【身のまわりの物質】,PLKRhhk0lEyzPmXGXcVrGp9iOcixenXbvl,
【中２　理科】　　中２－１５　　細胞のつくり,2013-06-11T01:48:57.000Z,https://www.youtube.com/watch?v=m7B8Vwr00iU,0:09:45,中2-理科 2【動物の生活と生物の変遷】,PLKRhhk0lEyzOiHM455bDf5kf4qjO6gGbu,
【中３　理科】　　中３－２０　　運動している物体,2013-05-28T05:42:46.000Z,https://www.youtube.com/watch?v=V6kZ58wZssE,0:10:45,中3-理科 3【運動とエネルギー】,PLKRhhk0lEyzMGvBhvCFg7rT2Nx4ZQsFjp,
【イントロダクション】中3数学-平方根,2019-09-07T04:57:07.000Z,https://www.youtube.com/watch?v=swcs1d68QqI,0:00:46,中3-数学 2【平方根】,PLKRhhk0lEyzMJmwh7JfktdzJn9gIyHw-L,
【数学】中2-14 連立方程式① 準備編,2013-05-19T00:07:14.000Z,https://www.youtube.com/watch?v=Da6IdknP50I,0:07:16,中2-数学 2【連立方程式】,PLKRhhk0lEyzNTk3Nd3OiNW8ovYDw72bOA,
【中1 数学】中1-11 文字を使うときのルール,2013-05-11T04:13:29.000Z,https://www.youtube.com/watch?v=5vuOahVVoVs,0:13:37,中1-数学 2【文字の式】,PLKRhhk0lEyzMbZlUS32UNHaNQYKKLB9dA,
