"対象","科目","No","タイトル","公開日","URL","長さ"
"高校1年","英語","6","過去形","2020-04-24T10:43:26.000Z","https://www.youtube.com/watch?v=dMNEMfjE-wU","00:06:30"
"高校1年","英語","9","現在完了進行形、過去・未来完了形","2020-04-24T00:00:08.000Z","https://www.youtube.com/watch?v=dpgnmcIPBxU","00:11:52"
"高校1年","数学","20","1次不等式","2020-04-24T00:00:06.000Z","https://www.youtube.com/watch?v=XQz89natxP0","00:16:57"
"高校1年","数学","19","確認テスト","2020-04-24T00:00:07.000Z","https://www.youtube.com/watch?v=VQDDymtoDJk","00:15:33"
"中学3年","数学","2","乗法の公式","2020-04-23T00:00:16.000Z","https://www.youtube.com/watch?v=oD--OTrrIk0","00:15:03"
"中学2年","国語","2","いろいろな表現技法","2020-04-23T00:00:00.000Z","https://www.youtube.com/watch?v=203Ok3KWEwc","00:14:35"
"中学1年","理科","2","花のつくりとはたらき","2020-04-23T00:00:16.000Z","https://www.youtube.com/watch?v=w6uC1NbtAAc","00:14:43"
"小学6年","国語","1","聞いて、考えを深めよう","2020-04-23T00:00:00.000Z","https://www.youtube.com/watch?v=67jzCTITyuM","00:13:57"
"小学4年","算数","2","角とその大きさ(1)","2020-04-23T00:00:00.000Z","https://www.youtube.com/watch?v=anhEUGQZIUg","00:12:41"
"小学2年","算数","2","ひょうとグラフ","2020-04-23T00:00:10.000Z","https://www.youtube.com/watch?v=R-xsK3Siq_E","00:14:45"
"高校1年","英語","8","現在完了形","2020-04-23T00:00:12.000Z","https://www.youtube.com/watch?v=X7VId6UlbwA","00:07:13"
"高校1年","数学","18","整数部分と小数部分","2020-04-23T00:00:12.000Z","https://www.youtube.com/watch?v=tXSMq83p9ko","00:10:59"
"高校1年","数学","17","おまけ","2020-04-23T00:00:10.000Z","https://www.youtube.com/watch?v=rcV7BxVMz7g","00:12:23"
"中学3年","英語","3","受け身","2020-04-24T00:00:12.000Z","https://www.youtube.com/watch?v=QP1iTUme3RY","00:12:56"
"中学1年","英語","3","友だち紹介","2020-04-24T00:00:11.000Z","https://www.youtube.com/watch?v=wdPGND0LAfc","00:11:18"
"小学5年","算数","2","整数と小数","2020-04-24T00:00:09.000Z","https://www.youtube.com/watch?v=g1OmHv-_nfY","00:12:58"
"小学3年","外国語","2","自己紹介(2)","2020-04-24T00:00:09.000Z","https://www.youtube.com/watch?v=hWTSCrZgdLA","00:15:00"
"中学2年","数学","3","いろいろな多項式の計算","2020-04-24T00:00:12.000Z","https://www.youtube.com/watch?v=xNKZGvRqbzA","00:14:30"
"小学1年","国語","3","うたにあわせてあいうえお","2020-04-24T00:00:11.000Z","https://www.youtube.com/watch?v=iqpGEtqphkI","00:14:41"
"中学3年","英語","1","好きなこと","2020-04-21T23:30:04.000Z","https://www.youtube.com/watch?v=wvonmxBEFfo","00:09:16"
"中学2年","数学","1","立体の体積","2020-04-21T23:30:01.000Z","https://www.youtube.com/watch?v=AyovEYfxoWg","00:14:07"
"中学1年","国語","1","国語の学習","2020-04-21T23:30:02.000Z","https://www.youtube.com/watch?v=u8Tz3NNB_LU","00:15:00"
"小学1年","国語","1","えんぴつとなかよくなろう","2020-04-21T23:30:00.000Z","https://www.youtube.com/watch?v=4JNIl_V6D2A","00:12:37"
"小学3年","算数","1","はこの形","2020-04-21T23:30:02.000Z","https://www.youtube.com/watch?v=dxaOc9kblfA","00:10:02"
"高校1年","数学","10","因数分解(5)3種類の文字を含むとき","2020-04-21T23:30:02.000Z","https://www.youtube.com/watch?v=SGCqVilXars","00:13:22"
"高校1年","数学","16","2重根号","2020-04-21T23:30:02.000Z","https://www.youtube.com/watch?v=difjmWJZtjk","00:12:59"
