"URL","対象","言語","タイトル","科目","長さ"
"https://www.youtube.com/watch?v=wsi1V-BsWwQ&index=88&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 3桁＋2桁繰り上がりなし加法","算数","00:03:14"
"https://www.youtube.com/watch?v=tEHQ0JHHz_k&index=92&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 3桁＋3桁繰り上がり1回加法","算数","00:03:35"
"https://www.youtube.com/watch?v=rejExGu-D6c&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=91","小学2年","日本語版","数と計算 3桁＋3桁繰り上がりなし加法","算数","00:03:24"
"https://www.youtube.com/watch?v=K-UP8HVYTBo&index=94&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 3桁－2桁繰り下がり1回減法①","算数","00:03:59"
"https://www.youtube.com/watch?v=y9_43u97JjI&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=97","小学2年","日本語版","数と計算 3桁－2桁繰り下がり1回減法②","算数","00:03:46"
"https://www.youtube.com/watch?v=6l6EreShO2s&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=95","小学2年","日本語版","数と計算 3桁－2桁繰り下がり2回減法","算数","00:04:39"
"https://www.youtube.com/watch?v=bGvK4rmPe4o&index=93&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 3桁－2桁繰り下がりなし減法","算数","00:03:17"
"https://www.youtube.com/watch?v=OADs4orPVeM&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=192","小学2年","日本語版","数と計算 たすのかなひくのかな","算数","00:02:55"
"https://www.youtube.com/watch?v=TB3aHhVqdt8","小学2年","日本語版","数と計算 乗法 乗法の文章問題の解き方①","算数","00:03:38"
"https://www.youtube.com/watch?v=62avd0wQ100","小学2年","日本語版","数と計算 乗法 乗法の文章問題の解き方②","算数","00:03:13"
"https://www.youtube.com/watch?v=JfVR7Bbwzeo","小学2年","日本語版","数と計算 乗法の式の立て方","算数","00:03:03"
"https://www.youtube.com/watch?v=rGS0wSZIk2I&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=248","小学2年","日本語版","図形 三角形と四角形を見分けよう","算数","00:03:23"
"https://www.youtube.com/watch?v=AihPMqc_nro","小学2年","日本語版","測定 かさの単位","算数","00:02:24"
"https://www.youtube.com/watch?v=vNlnNV-gEIg","小学2年","日本語版","測定 時間の単位と関係","算数","00:02:12"
"https://www.youtube.com/watch?v=t7osEH5W4es","小学2年","日本語版","データの活用 かんたんなグラフ","算数","00:02:41"
"https://www.youtube.com/watch?v=pLlY1P7LR00&index=124&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","数と計算 2桁×1桁繰り上がりあり乗法","算数","00:02:52"
"https://www.youtube.com/watch?v=6Tnk4dK4_1g&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=123","小学3年","日本語版","数と計算 2桁×1桁繰り上がりなし乗法","算数","00:02:30"
"https://www.youtube.com/watch?v=q--NlRAaW3U&index=125&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","数と計算 2桁×2桁繰り上がりあり乗法","算数","00:03:24"
"https://www.youtube.com/watch?v=r45SApeDiiI","小学3年","日本語版","数と計算 そろばん 1桁＋1桁繰り上がりあり加法","算数","00:02:27"
"https://www.youtube.com/watch?v=e3IFAaombgQ","小学3年","日本語版","数と計算 そろばん 1桁＋1桁繰り上がりなし加法 五珠の合成","算数","00:02:27"
"https://www.youtube.com/watch?v=sQgb993EMDQ","小学3年","日本語版","数と計算 そろばん 1桁＋1桁繰り上がりなし加法","算数","00:01:55"
"https://www.youtube.com/watch?v=Dr3VUP5_fl4","小学3年","日本語版","数と計算 そろばん 1桁－1桁減法①","算数","00:02:00"
"https://www.youtube.com/watch?v=N3qUEhKQAxc","小学3年","日本語版","数と計算 そろばん 1桁－1桁減法②","算数","00:02:31"
"https://www.youtube.com/watch?v=aZUsN8Og8F8","小学3年","日本語版","数と計算 そろばん 2桁＋1桁加法","算数","00:02:55"
"https://www.youtube.com/watch?v=1Dx-7a2N4B0&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=293","小学3年","日本語版","数と計算 そろばん 2桁＋2桁加法","算数","00:02:07"
"https://www.youtube.com/watch?v=iK4u75K_puM","小学3年","日本語版","数と計算 そろばん 2桁－1桁繰り下がりあり減法","算数","00:02:49"
"https://www.youtube.com/watch?v=GEjEPxP0_14","小学3年","日本語版","数と計算 そろばん 2桁－1桁繰り下がりあり減法 数字変更","算数","00:02:17"
"https://www.youtube.com/watch?v=Ghcull7qbIs&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=294","小学3年","日本語版","数と計算 そろばん 2桁－2桁減法","算数","00:02:17"
"https://www.youtube.com/watch?v=YCSE-YoCK8U","小学3年","日本語版","数と計算 そろばん 基本","算数","00:02:46"
"https://www.youtube.com/watch?v=mHFK737M6gc","小学3年","日本語版","数と計算 そろばん 数の置き方①","算数","00:03:15"
"https://www.youtube.com/watch?v=tulhECVWfOg","小学3年","日本語版","数と計算 そろばん 数の置き方②","算数","00:04:47"
"https://www.youtube.com/watch?v=bcRbpy_o45I","小学3年","日本語版","数と計算 わり算の計算 等分除","算数","00:02:24"
"https://www.youtube.com/watch?v=lFkKFbqEOyc","小学3年","日本語版","数と計算 わり算の計算 包含除","算数","00:02:20"
"https://www.youtube.com/watch?v=dOsvDjwExGI&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=52","小学3年","日本語版","数と計算 小数1位＋小数1位繰り上がり1回加法","算数","00:03:49"
"https://www.youtube.com/watch?v=Tw6VDILYyvs&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=110","小学3年","日本語版","数と計算 小数1位＋整数加法","算数","00:02:34"
"https://www.youtube.com/watch?v=yuT32eOQEy4&index=55&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","数と計算 小数1位－小数1位減法","算数","00:03:59"
"https://www.youtube.com/watch?v=GgLVrk6YOw0&index=128&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","数と計算 小数1位－小数2位減法","算数","00:05:25"
"https://www.youtube.com/watch?v=crRSHFk_KzA&index=56&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","数と計算 小数1位－整数減法","算数","00:03:56"
"https://www.youtube.com/watch?v=XVm6fkfcUQQ&index=53&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","数と計算 小数2位－小数1位減法","算数","00:03:37"
"https://www.youtube.com/watch?v=oCTBnGlAAHo","小学3年","日本語版","数と計算 小数第一位の加法","算数","00:03:33"
"https://www.youtube.com/watch?v=Su6yG_eydtU&index=54&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","数と計算 整数＋小数1位加法","算数","00:03:26"
"https://www.youtube.com/watch?v=ZRA5QABLUMM&index=118&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","数と計算 整数－小数1位減法","算数","00:03:53"
"https://www.youtube.com/watch?v=ZYorNY2Xdag","小学3年","日本語版","数と計算 分数のたし算 同分母の計算","算数","00:02:53"
"https://www.youtube.com/watch?v=C_YPqPdcFOY","小学3年","日本語版","数と計算 分数のひき算 同分母の計算","算数","00:02:56"
"https://www.youtube.com/watch?v=hOEZp-3wZ8I","小学3年","日本語版","数と計算 分数の意味表し方","算数","00:02:21"
"https://www.youtube.com/watch?v=zvlpKzSnihw&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=255","小学3年","日本語版","数と計算 分数の考え方","算数","00:02:06"
"https://www.youtube.com/watch?v=WVD9-7b9FgI&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=200","小学3年","日本語版","図形 円 円のかき方","算数","00:01:21"
"https://www.youtube.com/watch?v=EqcZmW7qz5c&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=197","小学3年","日本語版","図形 円 円の半径と直径","算数","00:02:32"
"https://www.youtube.com/watch?v=QkqTT82iTq8","小学3年","日本語版","図形 円と球 球について","算数","00:03:28"
"https://www.youtube.com/watch?v=GfTmyw3iyHs&index=247&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学3年","日本語版","図形 二等辺三角形 かきかた","算数","00:01:51"
"https://www.youtube.com/watch?v=ib62wOowwSU","小学3年","日本語版","図形 平行線の書き方 三角定規","算数","00:03:41"
"https://www.youtube.com/watch?v=nlndU2pDr_A","小学3年","日本語版","測定 時刻と時間の計算 足し算","算数","00:04:07"
"https://www.youtube.com/watch?v=jAhplV36MP8","小学3年","日本語版","測定 重さの単位変換 ㎏→g","算数","00:02:36"
"https://www.youtube.com/watch?v=wqR96bDZGbM&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=259","小学3年","日本語版","測定 長さの単位変換 km→ｍ","算数","00:02:20"
"https://www.youtube.com/watch?v=S5rhJn1mp6A","小学3年","日本語版","測定 長さの単位変換 m→cｍ","算数","00:03:20"
"https://www.youtube.com/watch?v=FqqfE39A8nc","小学3年","日本語版","測定 長さの単位変換 mをcmにかえる問題 応用編","算数","00:03:21"
"https://www.youtube.com/watch?v=ExfPtXJSij0&index=102&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 1桁÷1桁あまりあり除法","算数","00:03:42"
"https://www.youtube.com/watch?v=O_eGPwQ-Dyk&index=113&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 1桁÷1桁あまりなし除法","算数","00:03:53"
"https://www.youtube.com/watch?v=HqqF9sWZNQ0&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=164","小学4年","日本語版","数と計算 2桁÷1桁あまりあり除法","算数","00:03:57"
"https://www.youtube.com/watch?v=z1Ayegt0TJo&index=106&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 2桁÷1桁あまりなし除法","算数","00:04:13"
"https://www.youtube.com/watch?v=5ri_ztMPlwQ&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=101","小学4年","日本語版","数と計算 2桁÷2桁あまりあり除法","算数","00:02:38"
"https://www.youtube.com/watch?v=wg9DFt2vIaY&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=104","小学4年","日本語版","数と計算 2桁÷2桁あまりなし除法","算数","00:03:35"
"https://www.youtube.com/watch?v=nWvVvcqkYMM&index=111&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 3桁÷1桁あまりあり除法","算数","00:04:40"
"https://www.youtube.com/watch?v=T6NWOwpje80&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=108","小学4年","日本語版","数と計算 3桁÷1桁あまりなし除法","算数","00:04:19"
"https://www.youtube.com/watch?v=4Mxb5kj_SSY&index=112&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 3桁÷2桁あまりあり除法","算数","00:04:42"
"https://www.youtube.com/watch?v=oL-SEcXP894&index=114&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 3桁÷2桁あまりなし除法","算数","00:05:13"
"https://www.youtube.com/watch?v=1WrqgECEbJQ&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=250","小学4年","日本語版","数と計算 概数 四捨五入","算数","00:02:11"
"https://www.youtube.com/watch?v=RyPhh6yDDR0&index=223&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 概数のかけ算","算数","00:02:18"
"https://www.youtube.com/watch?v=CMO4z3F0DuY&index=100&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 小数1位×整数乗法","算数","00:04:02"
"https://www.youtube.com/watch?v=F9hydBDLoSk&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=120","小学4年","日本語版","数と計算 小数2位＋小数1位加法","算数","00:03:35"
"https://www.youtube.com/watch?v=uwj1x1aNdj4&index=105&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 小数2位＋小数2位繰り上がり1回加法","算数","00:04:32"
"https://www.youtube.com/watch?v=6GKTJlX7RyI&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=135","小学4年","日本語版","数と計算 小数2位－小数2位減法","算数","00:04:43"
"https://www.youtube.com/watch?v=gfKaVQogQbY&index=103&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","数と計算 整数×小数1位乗法","算数","00:06:04"
"https://www.youtube.com/watch?v=V-9U4FfcQ_w","小学4年","日本語版","数と計算 分数のたし算 分数＋分数の計算のしかた","算数","00:02:28"
"https://www.youtube.com/watch?v=KRitBwi1QiY","小学4年","日本語版","数と計算 分数の考え方 帯分数","算数","00:02:45"
"https://www.youtube.com/watch?v=RjNP92vNblw","小学4年","日本語版","図形 台形 定義","算数","00:03:09"
"https://www.youtube.com/watch?v=yBehZSLangM&index=280&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","図形 直方体 立体図形の特徴","算数","00:01:37"
"https://www.youtube.com/watch?v=UHIde-Yfd1A&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=69","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法①","算数","00:01:50"
"https://www.youtube.com/watch?v=6WWzoStXfiw&index=70&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法②","算数","00:01:43"
"https://www.youtube.com/watch?v=pQaDsJTh_Vc&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=71","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法③","算数","00:01:55"
"https://www.youtube.com/watch?v=nkuv9g2RjUo&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=72","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法④","算数","00:01:42"
"https://www.youtube.com/watch?v=pNyvmyDXdI0&index=73&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法⑤","算数","00:02:00"
"https://www.youtube.com/watch?v=Moh-VvYMIEg&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=74","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法⑥","算数","00:01:52"
"https://www.youtube.com/watch?v=mfGYEIkzhJk&index=75&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法⑦","算数","00:01:39"
"https://www.youtube.com/watch?v=7BklPB7OJT4&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=77","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法⑧","算数","00:01:42"
"https://www.youtube.com/watch?v=svrfrhON7aQ&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=78","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法⑨","算数","00:01:54"
"https://www.youtube.com/watch?v=reYU8f3Q0jA&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=79","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法⑩","算数","00:01:42"
"https://www.youtube.com/watch?v=m5Ekza8sAkE&index=80&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","図形 直方体と立方体 立方体の展開図と展開方法⑪","算数","00:01:40"
"https://www.youtube.com/watch?v=DQjOjCUk10c","小学4年","日本語版","図形 複雑な面積の求め方の工夫","算数","00:04:43"
"https://www.youtube.com/watch?v=rJk271WfYoI&index=195&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","図形 面積 定義","算数","00:03:13"
"https://www.youtube.com/watch?v=IWwTc9B8lw4&index=194&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","図形 面積 練習問題","算数","00:02:02"
"https://www.youtube.com/watch?v=fDoXrgrxd4E","小学4年","日本語版","図形 面積の求め方の応用","算数","00:02:55"
"https://www.youtube.com/watch?v=N-KGXxz7c-s","小学4年","日本語版","図形 面積の求め方の工夫","算数","00:06:11"
"https://www.youtube.com/watch?v=FyFYBNkJfz0","小学4年","日本語版","図形 面積の求め方の工夫 面積の足し引き","算数","00:05:59"
"https://www.youtube.com/watch?v=EGkruoNlOCo&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=254","小学4年","日本語版","図形 面積の求め方の工夫①","算数","00:02:15"
"https://www.youtube.com/watch?v=zqJ2B8WM2HM&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=251","小学4年","日本語版","図形 面積の求め方の工夫②","算数","00:01:49"
"https://www.youtube.com/watch?v=X8GYuG8_E1Y&index=81&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","図形 立体の展開図 展開図の種類","算数","00:02:42"
"https://www.youtube.com/watch?v=7JnfF3_HMxU&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=290","小学4年","日本語版","図形 立方体 立体図形の特徴","算数","00:01:13"
"https://www.youtube.com/watch?v=oyYDnjrWfXM","小学4年","日本語版","データの活用 適切なグラフの選択","算数","00:02:36"
"https://www.youtube.com/watch?v=D6ftknABmtM&index=193&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学4年","日本語版","変化と関係 どのように変わるか調べよう 数と長さの関係","算数","00:02:01"
"https://www.youtube.com/watch?v=MLxEeBHanzo","小学5年","日本語版","数と計算 異なる分母のかんたんな通分","算数","00:03:03"
"https://www.youtube.com/watch?v=SyKzSIKUfIY&t=2s","小学5年","日本語版","数と計算 異なる分母同士の引き 通分 公倍数が簡単な場合","算数","00:02:31"
"https://www.youtube.com/watch?v=TWXpyHlDP5Q","小学5年","日本語版","数と計算 異なる分母同士の引き算 通分 公倍数が簡単でない場合","算数","00:02:32"
"https://www.youtube.com/watch?v=kFdgHJ7hf8Y&index=61&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学5年","日本語版","数と計算 公倍数の意味","算数","00:01:12"
"https://www.youtube.com/watch?v=XcHQTNAiSPU&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=107","小学5年","日本語版","数と計算 公倍数の求め方","算数","00:02:59"
"https://www.youtube.com/watch?v=PGyvUqYerKU&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=76","小学5年","日本語版","数と計算 小数1位×小数1位乗法","算数","00:04:21"
"https://www.youtube.com/watch?v=BLDtk0T5iHk&index=119&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学5年","日本語版","数と計算 小数1位×小数2位乗法","算数","00:05:35"
"https://www.youtube.com/watch?v=lG0d5Goss1w&index=115&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学5年","日本語版","数と計算 小数2位×小数1位乗法","算数","00:05:29"
"https://www.youtube.com/watch?v=LnCNAP2h_r4&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=117","小学5年","日本語版","数と計算 小数2位×小数2位乗法","算数","00:04:55"
"https://www.youtube.com/watch?v=L3xGhqlx-fU&index=258&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学5年","日本語版","数と計算 整数 約数の求め方","算数","00:02:28"
"https://www.youtube.com/watch?v=KULicXUAId0","小学5年","日本語版","数と計算 整数の性質 偶数と奇数の見分け方","算数","00:03:10"
"https://www.youtube.com/watch?v=1E1YFF5qKhI","小学5年","日本語版","数と計算 足し算 通分が簡単","算数","00:02:57"
"https://www.youtube.com/watch?v=cysHOED7m2U","小学5年","日本語版","数と計算 足し算 通分が簡単でない","算数","00:02:51"
"https://www.youtube.com/watch?v=LJOeuKTwa3Q","小学5年","日本語版","数と計算 通分 大きさ比べ","算数","00:01:40"
"https://www.youtube.com/watch?v=Sa85J6iifKQ","小学5年","日本語版","数と計算 通分 通分の仕方","算数","00:01:07"
"https://www.youtube.com/watch?v=93G9GvogGZs&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=249","小学5年","日本語版","数と計算 倍数と公倍数と最小公倍数","算数","00:02:02"
"https://www.youtube.com/watch?v=bXnaEvHT7W0&index=60&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学5年","日本語版","数と計算 倍数の意味","算数","00:01:10"
"https://www.youtube.com/watch?v=ghBy6lwoh1A&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=62","小学5年","日本語版","数と計算 倍数の求め方","算数","00:02:46"
"https://www.youtube.com/watch?v=zwyvG6Bv6ZM","小学5年","日本語版","数と計算 分数のたし算 異分母の計算","算数","00:02:44"
"https://www.youtube.com/watch?v=jEwss5uyAww","小学5年","日本語版","数と計算 分数のたし算 分母の違うたし算のしかた","算数","00:02:43"
"https://www.youtube.com/watch?v=CPwTvJLBnSI","小学5年","日本語版","数と計算 分数のひき算 異分母の計算","算数","00:02:33"
"https://www.youtube.com/watch?v=EcHjNtUxMaU","小学5年",,"数と計算 分数の引き算 異分母の計算 日本語","算数","00:03:10"
"https://www.youtube.com/watch?v=FVRT82_pRUo","小学5年","日本語版","数と計算 分母の異なる分数の引き算 通分が簡単でない場合","算数","00:03:15"
"https://www.youtube.com/watch?v=x1ZPMCX128c","小学5年","日本語版","数と計算 約分 約分の仕方","算数","00:02:28"
"https://www.youtube.com/watch?v=nsSWZqbM_p4&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=221","小学5年","日本語版","図形 おうぎ形の孤の長さ","算数","00:03:49"
"https://www.youtube.com/watch?v=DF7YNuLIQZk","小学5年","日本語版","図形 合同な図形を見つけよう","算数","00:02:40"
"https://www.youtube.com/watch?v=pt0dvXsO56w","小学5年","日本語版","図形 三角形 面積求め方","算数","00:04:20"
"https://www.youtube.com/watch?v=j9IBtT5fhPo","小学5年","日本語版","図形 三角形の面積の求め方","算数","00:04:25"
"https://www.youtube.com/watch?v=HGGKHgmDG2Y","小学5年","日本語版","図形 図形 合同な図形","算数","00:02:20"
"https://www.youtube.com/watch?v=zOWjXlChH80","小学5年","日本語版","図形 図形 合同な図形を見つけよう","算数","00:02:54"
"https://www.youtube.com/watch?v=BRdXIC6JfIY","小学5年","日本語版","図形 図形 三角形の内角","算数","00:02:54"
"https://www.youtube.com/watch?v=J0mA5Z836do","小学5年","日本語版","図形 図形の角 三角形の内角 応用編","算数","00:03:12"
"https://www.youtube.com/watch?v=LT86aDUmosQ","小学5年","日本語版","図形 図形の角 三角形の内角 基本編","算数","00:03:41"
"https://www.youtube.com/watch?v=SziTLjGY_lw","小学5年","日本語版","図形 図形の角 三角形の内角の和 基本編","算数","00:02:20"
"https://www.youtube.com/watch?v=YoeAcA56hg8","小学5年","日本語版","図形 台形 台形の面積の求め方","算数","00:02:32"
"https://www.youtube.com/watch?v=2J_HEmLPces","小学5年","日本語版","図形 台形 面積 ３つの求め方","算数","00:06:13"
"https://www.youtube.com/watch?v=_9RsGGtWf9U","小学5年","日本語版","図形 台形 面積の求め方","算数","00:02:32"
