"URL","対象","言語","タイトル","科目","長さ"
"https://www.youtube.com/watch?v=eV_V_eCA4wE","小学1年","日本語版","数と計算 10の数の合成","算数","00:02:42"
"https://www.youtube.com/watch?v=xXQ1qAG7J5E","小学1年","日本語版","数と計算 10の数の分解","算数","00:02:44"
"https://www.youtube.com/watch?v=rkFefg1uhlI","小学1年",,"数と計算 数の合成 日本語訳","算数","00:02:16"
"https://www.youtube.com/watch?v=rJpYwe57YAM","小学1年","日本語版","数と計算 数の数え方","算数","00:03:41"
"https://www.youtube.com/watch?v=zJIfqCsXyL8","小学1年","日本語版","測定 時計 長針と短針について","算数","00:02:22"
"https://www.youtube.com/watch?v=5aRiw4K19ww&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=82","小学1年","日本語版","測定 時計はどれでしょう","算数","00:02:32"
"https://www.youtube.com/watch?v=UivsWlTORkA","小学1年","日本語版","測定 時刻と時間 定義","算数","00:02:01"
"https://www.youtube.com/watch?v=33ajklL57_Q","小学1年","日本語版","測定 長針と短針 定義","算数","00:01:53"
"https://www.youtube.com/watch?v=nVCZnuFrXVg","小学2年","日本語版","数と計算 100より大きい数 お金のはらいかた","算数","00:03:42"
"https://www.youtube.com/watch?v=hHqeB0wbYJw","小学2年","日本語版","数と計算 100より大きい数 お金の計算のしかた","算数","00:03:42"
"https://www.youtube.com/watch?v=rQgM8q5rh1I&index=84&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 1桁＋1桁繰り上がり1回加法","算数","00:02:52"
"https://www.youtube.com/watch?v=b3zhvYhK76E&index=83&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 1桁＋1桁繰り上がりなし加法","算数","00:02:07"
"https://www.youtube.com/watch?v=LMcV7AOZSCw&index=122&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 1桁×1桁繰り上がりあり乗法","算数","00:02:18"
"https://www.youtube.com/watch?v=rSe3FuK4lV4&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=121","小学2年","日本語版","数と計算 1桁×1桁繰り上がりなし乗法","算数","00:02:08"
"https://www.youtube.com/watch?v=x_jnU8gbBXY&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=99","小学2年","日本語版","数と計算 1桁－1桁繰り下がりなし減法","算数","00:02:17"
"https://www.youtube.com/watch?v=YaXBPm34TCo&index=86&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 2桁＋1桁繰り上がり1回加法","算数","00:02:57"
"https://www.youtube.com/watch?v=mGL7VIyFWTc&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=87","小学2年","日本語版","数と計算 2桁＋1桁繰り上がり2回加法","算数","00:03:47"
"https://www.youtube.com/watch?v=bn5gf2u3vNM&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=85","小学2年","日本語版","数と計算 2桁＋1桁繰り上がりなし加法","算数","00:02:38"
"https://www.youtube.com/watch?v=VnU_gIe8dQY&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=96","小学2年","日本語版","数と計算 2桁－１桁繰り下がり1回減法","算数","00:03:18"
"https://www.youtube.com/watch?v=vJHvc_3VvtY&index=98&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa","小学2年","日本語版","数と計算 2桁－１桁繰り下がりなし減法","算数","00:02:47"
"https://www.youtube.com/watch?v=s2huzK91kgI&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=89","小学2年","日本語版","数と計算 3桁＋2桁繰り上がり1回加法","算数","00:03:21"
"https://www.youtube.com/watch?v=aWzAjvuF-9k&list=PLOT1dLQymBhnBh9lSR-YH8txZMKOdKELa&index=90","小学2年","日本語版","数と計算 3桁＋2桁繰り上がり2回加法","算数","00:04:00"
