"タイトル","科目","対象","公開日","URL","長さ"
"学習課題　小学校５年外国語　４月20日～24日","外国語","小学5年","2020-04-16T02:08:29.000Z","https://www.youtube.com/watch?v=R1fPxtW4BJ4","00:01:45"
"学習課題　小学校６年外国語　４月20日～24日","外国語","小学6年","2020-04-16T02:11:21.000Z","https://www.youtube.com/watch?v=WMQevKDpnxU","00:01:30"
"学習課題　小学校５年外国語　４月27日～5月１日","外国語","小学5年","2020-04-22T09:58:41.000Z","https://www.youtube.com/watch?v=Xt2AkUSP0r0","00:01:02"
"学習課題　小学校６年外国語　４月27日～5月１日","外国語","小学6年","2020-04-22T10:02:03.000Z","https://www.youtube.com/watch?v=yTUS1-VInvc","00:01:04"
"学習課題　中学校１年英語　４月27日～5月１日","英語","中学1年","2020-04-22T10:03:24.000Z","https://www.youtube.com/watch?v=ovlLEJeF_KE","00:03:17"
"学習課題　中学校１年英語　5月７日～５月８日","英語","中学1年","2020-04-22T10:05:21.000Z","https://www.youtube.com/watch?v=DHLyzfCRWjo","00:00:57"
"縄跳びひとりでチャレンジ（ホップ）","体育","小学生","2020-04-22T10:06:55.000Z","https://www.youtube.com/watch?v=lLh_E_n4pCY","00:00:23"
"縄跳びひとりでチャレンジ（ステップ）","体育","小学生","2020-04-22T10:08:39.000Z","https://www.youtube.com/watch?v=_uyWB7fm2b4","00:00:29"
"縄跳びひとりでチャレンジ（ジャンプ）","体育","小学生","2020-04-22T10:31:36.000Z","https://www.youtube.com/watch?v=ybBfHkVndCA","00:01:04"
"縄跳びひとりでチャレンジ（スーパー）","体育","小学生","2020-04-22T10:34:35.000Z","https://www.youtube.com/watch?v=L9q7CLPL5hw","00:01:07"
"縄跳びひとりでチャレンジ（スペシャル）","体育","小学生","2020-04-22T10:35:56.000Z","https://www.youtube.com/watch?v=8JK2uJLQu2Q","00:01:03"
"算数にーごー　小学校５年「整数と小数」　課題編","算数","小学5年","2020-04-28T10:10:22.000Z","https://www.youtube.com/watch?v=z5QxWXoHjGc","00:06:53"
"学習課題　小学校５年外国語　５月11日～5月15日","外国語","小学5年","2020-04-30T06:59:22.000Z","https://www.youtube.com/watch?v=E5eF_Q1KF-Y","00:01:28"
"学習課題　小学校６年外国語　５月11日～5月15日","外国語","小学6年","2020-04-30T07:19:31.000Z","https://www.youtube.com/watch?v=50OoLowm9Fk","00:01:10"
"学習課題　中学校１年英語　５月11日～5月15日","英語","中学1年","2020-04-30T07:23:57.000Z","https://www.youtube.com/watch?v=ZMYhmW9cG54","00:06:05"
"算数にーごー　小学校５年「整数と小数」　解説編①","算数","小学5年","2020-05-01T06:13:38.000Z","https://www.youtube.com/watch?v=JtVrFi8eMZg","00:07:31"
"算数にーごー　小学校５年「整数と小数」　解説編②","算数","小学5年","2020-05-01T06:16:13.000Z","https://www.youtube.com/watch?v=-wN6YU9A7l4","00:09:13"
