"教材ID","教材シリーズ名","教材種別","対象","科目","提供","提供URL","URL","No","タイトル","公開日","長さ","機材","キーボード","月","単元名","ページ","サイト名","内容","注意事項など","言語","講師","教科"
"1","ふくいわくわく授業","動画","小学5年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=rTjEQ4i7QCQ","1","敬語の使い方","2020-04-21T23:30:04.000Z","00:15:01",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学3年","算数","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=gs5Slz28jH8","2","九九の表とかけ算","2020-04-21T23:30:00.000Z","00:15:01",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学1年","算数","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=cYjC6P4ClFE","2","かずとすうじ(1)","2020-04-21T23:30:03.000Z","00:11:18",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=0opzKr-Shbg","6","過去形","2020-04-21T00:00:02.000Z","00:06:31",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=-_1aZCgfF_8","14","平方根分母の有理化","2020-04-21T00:00:01.000Z","00:17:11",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学3年","理科","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=GhCV23R2yOo","2","イオン","2020-04-21T00:00:05.000Z","00:14:01",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学2年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=W_8ZBig_NBs","2","be動詞の過去形","2020-04-21T00:00:07.000Z","00:11:58",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=4I87AbY3XBw","2","絶対値と数の大小","2020-04-21T00:00:02.000Z","00:14:33",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学6年","外国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=peuabKiJUpg","2","自己紹介(2)","2020-04-21T00:00:23.000Z","00:15:01",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学4年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=j6id68C8LyA","1","つなぎ言葉のはたらきを知ろう","2020-04-21T00:00:09.000Z","00:15:00",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学2年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=2DHRGZ-XOO0","2","主語と述語に気をつけよう(1)","2020-04-21T00:00:02.000Z","00:11:18",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=BVLTd7L6MFc","5","現在形と現在進行形","2020-04-19T23:30:01.000Z","00:09:00",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=mpVcse3WLxs","4","辞書の活用法","2020-04-19T23:30:04.000Z","00:10:08",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=9OeFuNU-DpA","13","絶対値","2020-04-19T23:30:00.000Z","00:17:54",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=KJ0IzH7mgk4","12","循環小数を分数に直す","2020-04-19T23:30:00.000Z","00:13:15",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=w8NRs7_9z7g","11","3次式の展開と因数分解","2020-04-19T23:30:08.000Z","00:13:01",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学3年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=0UX6TcuspTo","2","自分の国の紹介","2020-04-19T23:30:00.000Z","00:14:35",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学2年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=wlbLJL7M-xY","2","式の加法、減法","2020-04-19T23:30:02.000Z","00:15:01",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学1年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=mw5uXm-E3UM","2","話す・聞く・書く","2020-04-19T23:30:04.000Z","00:11:32",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学5年","外国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=0ODq7r0UP-Q","2","自己紹介(2)","2020-04-19T23:30:00.000Z","00:15:01",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学3年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=Z4bwQIfLcaM","1","こそあど言葉を使いこなそう","2020-04-19T23:30:04.000Z","00:11:57",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学1年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=Vm14jSPl5lE","2","あいさつをしてみよう","2020-04-19T23:30:02.000Z","00:14:39",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=mS8v2EVuVRM","9","因数分解(4)次数が等しいとき","2020-04-17T11:23:58.000Z","00:09:39",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=Wlz1-ojJsFc","8","因数分解(3)次数が異なるとき","2020-04-17T11:24:16.000Z","00:11:22",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学3年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=inBl_auwDjY","1","式の乗法、除法","2020-04-17T11:24:36.000Z","00:14:49",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学2年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=lJBTddysXwM","1","古典の復習","2020-04-17T11:24:50.000Z","00:14:24",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学1年","理科","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=Izb9BAz_fdk","1","身近な生物を観察しよう","2020-04-17T11:25:02.000Z","00:11:22",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学6年","算数","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=pI9CC3GuVjE","1","角柱と円柱","2020-04-17T11:25:13.000Z","00:15:55",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学4年","外国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=E9cVFEgDt4A","1","自己紹介(1)","2020-04-17T11:25:25.000Z","00:14:06",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学2年","算数","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=Rj5NlGCOABs","1","なんばんめ","2020-04-17T11:25:37.000Z","00:15:03",,,,,,,,,,,
