"教材ID","教材シリーズ名","教材種別","対象","科目","提供","提供URL","URL","No","タイトル","公開日","長さ","機材","キーボード","月","単元名","ページ","サイト名","内容","注意事項など","言語","講師","教科"
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/8uHYdFhsWGg",,"03 IchigonQuestでぼうけんづくり その３",,,"IchigonQuest",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/ztavgxfZBN8",,"04 IchigonQuestで距離センサー 前編",,,"IchigonQuest",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/vodA0OPo348",,"04 IchigonQuestで距離センサー 後編",,,"IchigonQuest",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/438qMGOKhtU",,"06 IchigonJamでLEDをあやつろう",,,"IchigoJam",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/eUvHjX42-I0",,"07 スクラッチをつかってみよう",,,"Scratch",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/Eu1RMH1ZYhA",,"08 暗くなったら光るライトを作ろう！",,,"IchigoJam,センサー",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/3W6fa7-GOwI",,"09 ライントレースでロボットを自動運転させよう！",,,"IchigoJam,MapleSyrup,ロボット",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/spG8HCkNIMg",,"10 LEDで絵を描こう! IchigonQuest -- micro:bit",,,"IchigonQuest,micro:bit",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/a2mhmkzXH64",,"11 でんぱで指令を送ろう! IchigonQuest -- micro:bit",,,"IchigonQuest,micro:bit",,,,,,,,,,
"4","おとなプログラミング入門","動画","大人","プログラミング","B Inc.","https://ichigojam.net/","https://youtu.be/kqXaLuM1J_o",,"プログラミング教材「IchigoJam（イチゴジャム）」の使い方とデモンストレーション","2020-04-15",,,,,,,,,,,,
"5","福井県教育総合研究所によるまとめ",,"小学5年","社会","福井県教育総合研究所","http://www.fukui-c.ed.jp/~fec/kyouzai/review.html","http://open.fdma.go.jp/e-college/eland/syou_tyuu.html",,"こどもぼうさい e-ランド",,,,,"３月","自然災害を防ぐ","100～111","総務省消防庁","防災について学べます。",,,,
