対象,科目,タイトル,URL,公開日
大人,深圳の産業集積とマスイノベーション,概論：工場からメイカーズへのムーブメント,https://www.youtube.com/watch?v=eka9uvfj25w,2020/2/13
大人,深圳の産業集積とマスイノベーション,ハードウェア量産の課題と深圳 01,https://www.youtube.com/watch?v=rLmejVUKEnY,2020/2/6
大人,深圳の産業集積とマスイノベーション,ハードウェア量産の課題と深圳 02,https://www.youtube.com/watch?v=iCsOti16PgE,2020/2/6
大人,深圳の産業集積とマスイノベーション,Jie Qi ゲスト講義 MITメディアラボ + 深圳,https://www.youtube.com/watch?v=e7rVOPxOUNw,2020/2/7
大人,深圳の産業集積とマスイノベーション,Jie Qi ゲスト講義 Story of Jie,https://www.youtube.com/watch?v=R40olFNI-6o,2020/2/7
大人,深圳の産業集積とマスイノベーション,オープンソースハードウェアとビジネス ,https://www.youtube.com/watch?v=-DdAZskrxCg,2020/2/8
大人,深圳の産業集積とマスイノベーション,秋田先生ゲスト講義：産業としての半導体とムーアの法則 01,https://www.youtube.com/watch?v=0dkySERpgrg,2020/2/8
大人,深圳の産業集積とマスイノベーション,秋田先生ゲスト講義：産業としての半導体とムーアの法則 02,https://www.youtube.com/watch?v=EL5iIIhMZAA,2020/2/8
大人,深圳の産業集積とマスイノベーション,深圳独自の知財システムとイノベーション 01,https://www.youtube.com/watch?v=Qxd3ZvueL_g,2020/2/9
大人,深圳の産業集積とマスイノベーション,深圳独自の知財システムとイノベーション 02,https://www.youtube.com/watch?v=Qxd3ZvueL_g,2020/2/9
大人,深圳の産業集積とマスイノベーション,コミュニティの作り方,https://www.youtube.com/watch?v=h931cXjd0o8,2020/2/15
