"対象","科目","タイトル","公開日","URL","長さ"
"小学1年","国語","えをみておはなしをしよう","2020-04-07T04:59:04.000Z","https://www.youtube.com/watch?v=2nvABLiqgKA","00:03:09"
"小学1年","国語","ひらがなをただしくかこう","2020-04-07T05:02:37.000Z","https://www.youtube.com/watch?v=sXeFQ4jXlCk","00:05:01"
"小学1年","算数","なかまづくりとかず","2020-04-07T05:12:24.000Z","https://www.youtube.com/watch?v=2lfWxVNsFaQ","00:12:24"
"小学1年","G･S","からだをつかってあそぼう ①","2020-04-08T01:02:10.000Z","https://www.youtube.com/watch?v=7yEl7q6MD3g","00:01:01"
"小学1年","G･S","からだをつかってあそぼう ②","2020-04-08T01:19:22.000Z","https://www.youtube.com/watch?v=6Bv_3u8g04w","00:04:24"
"小学2年","国語","日記を書いて生活をふりかえろう","2020-04-07T05:16:28.000Z","https://www.youtube.com/watch?v=5HZgQssXcA0","00:02:33"
"小学2年","算数","グラフとひょう","2020-04-07T05:19:09.000Z","https://www.youtube.com/watch?v=Qk_FCNm-nAg","00:04:42"
"小学3年","国語","ばめんのつながりに気をつけて読もう","2020-04-07T05:21:53.000Z","https://www.youtube.com/watch?v=1cr5Exe8oOo","00:04:45"
"小学3年","算数","九九をみなおそう","2020-04-07T05:24:09.000Z","https://www.youtube.com/watch?v=EXErvUtk_Zc","00:06:53"
"小学1年/小学2年/小学3年","図工","みぢかなもののかたちから","2020-04-07T05:43:03.000Z","https://www.youtube.com/watch?v=GwajFMPyW9c","00:04:38"
"小学4年","国語","じょうけいを読んで主人公の お仕事日記 を書こう","2020-04-07T05:27:04.000Z","https://www.youtube.com/watch?v=oBVMV4ckGlA","00:05:41"
"小学4年","算数","１億より大きい数を調べよう","2020-04-07T05:29:28.000Z","https://www.youtube.com/watch?v=4mJ8mixwSbM","00:03:58"
"小学5年","国語","心情表現を手がかりにして 亮太の心のバロメーター を作ろう","2020-04-07T05:32:04.000Z","https://www.youtube.com/watch?v=VTl1RGOJUF4","00:05:10"
"小学5年","算数","整数と小数のしくみを調べよう","2020-04-07T05:36:14.000Z","https://www.youtube.com/watch?v=zLGX9wV1AMQ","00:02:55"
