"対象","科目","タイトル","公開日","URL","長さ"
"中学3年","英語","Let’s Have a Discussion for Our School","2020-04-07T13:00:27Z","https://www.youtube.com/watch?v=zML8hAO_x5M","00:12:41"
"小中学生","体育","おうちでできる体ほぐしの運動","2020-04-07T13:03:49Z","https://www.youtube.com/watch?v=hM1_HAheMWo","00:07:56"
"特別支援",,"にんじゃアスリートへの道","2020-04-09T08:25:22Z","https://www.youtube.com/watch?v=-7K0Hm4mUFo","00:02:51"
"特別支援",,"スヌーズレンであそぼう","2020-04-09T12:23:11Z","https://www.youtube.com/watch?v=7XhwcKrfDAU","00:02:08"
"特別支援",,"１から１０までのかず","2020-04-15T00:19:07Z","https://www.youtube.com/watch?v=ZQ0swP86YRw","00:03:37"
"特別支援",,"ヌウのいろぬりをしよう","2020-04-17T00:28:45Z","https://www.youtube.com/watch?v=ScXSXif9o7Y","00:00:52"
"特別支援",,"てづくりマスクで よぼう","2020-04-17T00:35:09Z","https://www.youtube.com/watch?v=cPLvDt3GZuM","00:04:32"
"特別支援",,"つくってあそぼう ビー玉ころころ","2020-04-17T00:47:17Z","https://www.youtube.com/watch?v=cGsbBl1i2Yc","00:04:05"
"特別支援",,"自分でできることをやってみよう！","2020-04-21T02:01:35Z","https://www.youtube.com/watch?v=MmdYJUfxm4c","00:02:49"
"特別支援",,"新聞ボッチャのつくり方・あそび方","2020-04-21T02:03:04Z","https://www.youtube.com/watch?v=pN6wj_lS_jE","00:02:19"
"特別支援",,"すまいるたいそう","2020-04-23T12:37:41Z","https://www.youtube.com/watch?v=1nC4Xxp_9NY","00:03:52"
"特別支援",,"塩で絵をかこう","2020-04-23T12:45:07Z","https://www.youtube.com/watch?v=_-oXiIzmz54","00:05:18"
"特別支援",,"会話の練習","2020-04-23T12:49:13Z","https://www.youtube.com/watch?v=xLWa7IBV1Rw","00:01:42"
"特別支援",,"体幹トレーニング","2020-04-23T13:04:51Z","https://www.youtube.com/watch?v=uczmgxqROm8","00:02:16"
"特別支援",,"カレンダーを作ろう","2020-04-23T13:08:45Z","https://www.youtube.com/watch?v=4nryctzpnEw","00:06:53"
"特別支援",,"目のトレーニング","2020-04-27T23:52:16Z","https://www.youtube.com/watch?v=U4uVlSuLjQo","00:02:26"
"特別支援",,"おかいものをしよう","2020-04-28T00:02:25Z","https://www.youtube.com/watch?v=T0iU_HeMlq4","00:08:17"
"特別支援",,"白くまのジェンカ にじ","2020-04-28T00:08:10Z","https://www.youtube.com/watch?v=JqG68Aqc-XQ","00:03:54"
"特別支援",,"お手伝いをしよう","2020-04-28T00:10:53Z","https://www.youtube.com/watch?v=JJb_ypyoGLc","00:03:12"
"特別支援",,"これ なーんだ？","2020-04-28T00:13:08.000Z","https://www.youtube.com/watch?v=VB6CjxtqSBU","00:03:52"
"特別支援",,"指のトレーニング・洗濯物ほし","2020-04-28T00:16:30.000Z","https://www.youtube.com/watch?v=nvQ0u5blO9c","00:04:04"
"特別支援",,"上手な手洗い・うがいのやりかた","2020-04-28T00:20:57.000Z","https://www.youtube.com/watch?v=1MFusM96iUI","00:05:07"
"特別支援",,"からだを動かそう","2020-04-28T00:22:35.000Z","https://www.youtube.com/watch?v=DD3Tq6xTtZE","00:04:16"
"さいたま市青少年宇宙科学館","宇宙のまち","さいたま マスターシリーズ03 星景写真の撮り方 機材編","2020-04-28T04:58:42.000Z","https://www.youtube.com/watch?v=GkSXkQRQTSE","00:03:31"
"さいたま市青少年宇宙科学館","宇宙のまち","さいたま マスターシリーズ03 星景写真の撮り方 機材編","2020-04-28T04:59:08.000Z","https://www.youtube.com/watch?v=GkSXkQRQTSE","00:03:31"
"特別支援",,"やってみよう！目の体操！～入門編～","2020-04-30T08:02:52.000Z","https://www.youtube.com/watch?v=oVvpSnJYK7g","00:04:19"
"特別支援",,"３ヒントクイズをしよう","2020-04-30T08:03:08.000Z","https://www.youtube.com/watch?v=88qMSybQq24","00:03:48"
"特別支援",,"からだを動かそう","2020-04-30T08:03:21.000Z","https://www.youtube.com/watch?v=P0X48bvL5OI","00:02:48"
"特別支援",,"くらしと自然のことば","2020-04-30T08:03:45.000Z","https://www.youtube.com/watch?v=22ZxdckDZoE","00:16:10"
"特別支援",,"すてきな たべかたを みにつけよう","2020-04-30T08:04:46.000Z","https://www.youtube.com/watch?v=XuHDwWjhLlk","00:05:03"
"特別支援",,"にているカタカナを みわけよう","2020-04-30T08:05:00.000Z","https://www.youtube.com/watch?v=AK-wb_-O_T0","00:06:23"
"特別支援",,"ひらがなとなかよくしよう","2020-04-30T08:05:12.000Z","https://www.youtube.com/watch?v=AOA0yCW2rdE","00:04:14"
"特別支援",,"やってみよう！目の体操！～応用編～","2020-04-30T08:06:28.000Z","https://www.youtube.com/watch?v=TEBVBXR1kq8","00:03:39"
"特別支援",,"やってみよう！目の体操！～目の体操についてのお話編～","2020-04-30T08:07:15.000Z","https://www.youtube.com/watch?v=ld3HATNNx7w","00:03:43"
"特別支援",,"料理を作って食べよう（ペペロンチーノ）","2020-04-30T08:08:01.000Z","https://www.youtube.com/watch?v=Djd_6Qdo7f0","00:05:50"
