"対象","科目","タイトル","公開日","URL","長さ"
"小学1年","国語","えをみておはなしをしよう","2020-04-07T04:59:04Z","https://www.youtube.com/watch?v=2nvABLiqgKA","00:03:09"
"小学1年","国語","ひらがなをただしくかこう","2020-04-07T05:02:37Z","https://www.youtube.com/watch?v=sXeFQ4jXlCk","00:05:01"
"小学1年","算数","なかまづくりとかず","2020-04-07T05:12:24Z","https://www.youtube.com/watch?v=2lfWxVNsFaQ","00:12:24"
"小学1年","G･S","からだをつかってあそぼう ①","2020-04-08T01:02:10Z","https://www.youtube.com/watch?v=7yEl7q6MD3g","00:01:01"
"小学1年","G･S","からだをつかってあそぼう ②","2020-04-08T01:19:22Z","https://www.youtube.com/watch?v=6Bv_3u8g04w","00:04:24"
"小学2年","国語","日記を書いて生活をふりかえろう","2020-04-07T05:16:28Z","https://www.youtube.com/watch?v=5HZgQssXcA0","00:02:33"
"小学2年","算数","グラフとひょう","2020-04-07T05:19:09Z","https://www.youtube.com/watch?v=Qk_FCNm-nAg","00:04:42"
"小学3年","国語","ばめんのつながりに気をつけて読もう","2020-04-07T05:21:53Z","https://www.youtube.com/watch?v=1cr5Exe8oOo","00:04:45"
"小学3年","算数","九九をみなおそう","2020-04-07T05:24:09Z","https://www.youtube.com/watch?v=EXErvUtk_Zc","00:06:53"
"小学1年/小学2年/小学3年","図工","みぢかなもののかたちから","2020-04-07T05:43:03Z","https://www.youtube.com/watch?v=GwajFMPyW9c","00:04:38"
"小学4年","国語","じょうけいを読んで主人公の お仕事日記 を書こう","2020-04-07T05:27:04Z","https://www.youtube.com/watch?v=oBVMV4ckGlA","00:05:41"
"小学4年","算数","１億より大きい数を調べよう","2020-04-07T05:29:28Z","https://www.youtube.com/watch?v=4mJ8mixwSbM","00:03:58"
"小学5年","国語","心情表現を手がかりにして 亮太の心のバロメーター を作ろう","2020-04-07T05:32:04Z","https://www.youtube.com/watch?v=VTl1RGOJUF4","00:05:10"
"小学5年","算数","整数と小数のしくみを調べよう","2020-04-07T05:36:14Z","https://www.youtube.com/watch?v=zLGX9wV1AMQ","00:02:55"
"小学6年","国語","自分に質問してみよう","2020-04-07T05:38:34Z","https://www.youtube.com/watch?v=wbdroNlVO1c","00:03:24"
"小学6年","算数","つり合いのとれた図形を調べよう","2020-04-07T05:40:50Z","https://www.youtube.com/watch?v=1TjbvNMvBh0","00:05:57"
"小学4年/小学5年/小学6年","図工","くるくる 吹いて","2020-04-07T05:45:05Z","https://www.youtube.com/watch?v=jcb6w0QKZ5U","00:02:20"
"中学1年","国語","自己紹介文を書こう","2020-04-07T03:37:30Z","https://www.youtube.com/watch?v=6xOGIjX7jmk","00:06:30"
"中学1年","数学","正の数・負の数","2020-04-07T03:44:36Z","https://www.youtube.com/watch?v=p_CROp5A4Gk","00:06:37"
"中学1年","社会","世界の姿","2020-04-07T03:40:56Z","https://www.youtube.com/watch?v=SlTlceH3dGg","00:03:39"
"中学1年","理科","植物の世界","2020-04-07T03:52:37Z","https://www.youtube.com/watch?v=xwpqGYu2BhU","00:03:43"
"中学1年","G･S","Hello G･S","2020-04-07T04:14:57Z","https://www.youtube.com/watch?v=k1iAD7P32v0","00:07:08"
"中学2年","国語","詩を朗読しよう","2020-04-07T04:23:33Z","https://www.youtube.com/watch?v=1K-s9KfwB4E","00:05:23"
"中学2年","数学","式の計算","2020-04-07T04:33:10Z","https://www.youtube.com/watch?v=nZ-K1rNqOtI","00:07:26"
"中学2年","社会","世界から見た日本の姿","2020-04-07T04:27:29Z","https://www.youtube.com/watch?v=HYPbMwAO818","00:06:37"
"中学2年","理科","化学変化と原子・分子","2020-04-07T04:36:24Z","https://www.youtube.com/watch?v=e5QdEG9e7CA","00:06:06"
"中学2年","G•S","Classroom English","2020-04-07T06:20:58Z","https://www.youtube.com/watch?v=3YE_kidRoKU","00:11:11"
"中学3年","国語","お気に入りの詩集を作ろう","2020-04-07T06:50:52Z","https://www.youtube.com/watch?v=LJDbJG8XmI4","00:05:28"
"中学3年","数学","式の展開と因数分解","2020-04-07T06:57:38Z","https://www.youtube.com/watch?v=FBRxc--jOu0","00:06:28"
"中学3年","社会","日清・日露戦争と近代産業","2020-04-07T06:53:39Z","https://www.youtube.com/watch?v=tbXm9hv6_G8","00:04:59"
"中学3年","理科","化学変化とイオン","2020-04-07T07:00:50Z","https://www.youtube.com/watch?v=67QKJyoNC4g","00:04:49"
