"URL","対象","タイトル"
"https://ses.yamaha.com/special/gift-digital/soprano/index.html","小学3年/小学4年/小学5年/小学6年","ソプラノリコーダー授業"
"https://ses.yamaha.com/special/gift-digital/alto/index.html","中学生","アルトリコーダー授業"
