"URL","タイトル","講師","長さ"
"https://www.youtube.com/watch?v=A-zL6VuJbjc&list=PLZfZgVvFbh1a3zOK9Z2OJk6mA0olmcw3u&index=2&t=0s","音韻構造と文法・意味構造","窪薗晴夫","30:24:00"
"https://www.youtube.com/watch?v=xeV3hUlaorU&list=PLZfZgVvFbh1a3zOK9Z2OJk6mA0olmcw3u&index=3&t=0s","音声学入門","前川喜久雄","28:21:00"
"https://www.youtube.com/watch?v=IRVvkAQeAfw&list=PLZfZgVvFbh1a3zOK9Z2OJk6mA0olmcw3u&index=4&t=0s","日本語の接続詞―その用法の広がり―","石黒圭","29:24:00"
