"タイトル","科目","対象","URL"
"時計の学習","算数","小学1年","http://www.kumamoto-kmm.ed.jp/kyouzai/web/Super_clock2/index.html"
"中心角と円周角の関係","数学","中学3年","http://www.kumamoto-kmm.ed.jp/kyouzai/web/Circumferential_angle/index.html"
"リンク機構","技術","中学校","http://www.kumamoto-kmm.ed.jp/kyouzai/web/Link-mechanism/index.html"
"時間と長さ","算数","小学3年","http://www.kumamoto-kmm.ed.jp/kyouzai/web/Super_clock/index.html"
"お金の学習","算数","小学1年","http://www.kumamoto-kmm.ed.jp/kyouzai/web/Money-learning/index.html"
