"タイトル","対象","科目","URL"
"親子で学ぼう 安心で楽しい自転車の乗り方 ～自転車で安全に楽しく走るために","小学生","体育","https://benesse.jp/movie/bicycle.html"
"水彩画を上手に描きたい！","小学生","図画工作","https://benesse.jp/movie/suisaiga.html"
"リコーダーを上手に吹きたい","小学生","音楽","https://benesse.jp/movie/recorder.html"
"「中学で英語が得意になる！」シリーズ","中学生","英語","https://benesse.jp/movie/cyugakueigo.html"
"足がどんどん速くなる！かけっこトレーニング","小学生","体育","https://benesse.jp/movie/kakekko.html"
"みんなで一緒にバスケットボール！","小学生","体育","https://benesse.jp/movie/baske.html"
"ダンス ステップアップ上達法","小学生","体育","https://benesse.jp/movie/dance.html"
"みんなで一緒にドッジボール！","小学生","体育","https://benesse.jp/movie/dodge.html"
"できたよ！マット運動","小学生","体育","https://benesse.jp/movie/mat.html"
"できたよ　逆上がり！","小学生","体育","https://benesse.jp/movie/sakaagari.html"
"なわとびステップアップ上達法","小学生","体育","https://benesse.jp/movie/nawatobi2.html"
