"タイトル","公開日","URL","長さ","科目","対象","プレイリストタイトル"
"ガンマ関数②(収束性の証明)","2019-05-29T07:07:27.000Z","https://www.youtube.com/watch?v=dy40up4jnc0","00:12:11","数学","大人","解析学"
"ガンマ関数③(n次元球の体積)","2019-06-26T03:40:21.000Z","https://www.youtube.com/watch?v=AEj6MOoAgL4","00:20:51","数学","大人","解析学"
"有理数の稠密性","2019-12-23T07:32:26.000Z","https://www.youtube.com/watch?v=CV-PgDTHISU","00:13:25","数学","大人","解析学"
"コーシーの関数方程式/Cauchy's functional equation","2020-01-07T17:55:51.000Z","https://www.youtube.com/watch?v=8o7zGW-OyGE","00:24:28","数学","大人","解析学"
"ロピタルの定理①(定理と使用例)","2020-01-20T16:48:00.000Z","https://www.youtube.com/watch?v=dRpnR2Q6GPI","00:34:18","数学","大人","解析学"
"ロピタルの定理②(成り立たないケース)","2020-01-20T17:53:05.000Z","https://www.youtube.com/watch?v=Bf5tj9eZQoQ","00:15:28","数学","大人","解析学"
"ロピタルの定理③(ロルの定理)","2020-01-20T17:54:59.000Z","https://www.youtube.com/watch?v=x-BiZXs-Yf8","00:18:20","数学","大人","解析学"
"ロピタルの定理④(平均値の定理)","2020-01-20T18:00:24.000Z","https://www.youtube.com/watch?v=v4RC1RlIRso","00:09:46","数学","大人","解析学"
"ロピタルの定理⑤(コーシーの平均値の定理)","2020-01-20T18:02:18.000Z","https://www.youtube.com/watch?v=4ZC7zMoUKjw","00:12:33","数学","大人","解析学"
"ロピタルの定理⑥(定理の証明)","2020-02-02T09:44:26.000Z","https://www.youtube.com/watch?v=8GxzqKvA1_o","00:32:19","数学","大人","解析学"
"線形代数入門①(概観&ベクトル)","2018-07-20T06:00:19.000Z","https://www.youtube.com/watch?v=svm8hlhF8PA","00:15:12","数学","大人","線形代数"
"線形代数入門②(行列)","2018-07-29T03:38:05.000Z","https://www.youtube.com/watch?v=ltFl0FpLTzQ","00:17:21","数学","大人","線形代数"
"線形代数入門③(一次変換と演算の性質)","2018-09-12T14:47:09.000Z","https://www.youtube.com/watch?v=X2Xy2wnQbXc","00:18:46","数学","大人","線形代数"
"線形代数入門④(一次独立と一次従属)","2018-11-21T15:14:01.000Z","https://www.youtube.com/watch?v=6lKtkf3SNyE","00:13:29","数学","大人","線形代数"
"線形代数入門⑤(連立方程式：掃き出し法)","2018-11-21T11:04:47.000Z","https://www.youtube.com/watch?v=Da73Ra7gWKU","00:18:34","数学","大人","線形代数"
"線形代数入門⑥(連立方程式：不定と不能)","2018-12-06T17:38:09.000Z","https://www.youtube.com/watch?v=SrGvI85h6Mk","00:13:32","数学","大人","線形代数"
"線形代数入門⑦(連立方程式：階数)","2018-12-26T23:17:57.000Z","https://www.youtube.com/watch?v=J_WpopdTjVU","00:20:06","数学","大人","線形代数"
"線形代数入門⑧(行列式：定義と性質)","2019-01-20T16:47:16.000Z","https://www.youtube.com/watch?v=_TGC3rnWxDc","00:20:10","数学","大人","線形代数"
"線形代数入門⑨(行列式：余因子展開)","2019-04-03T07:21:25.000Z","https://www.youtube.com/watch?v=VwZ0EtT_UiI","00:27:23","数学","大人","線形代数"
"線形代数入門⑩(逆行列：定義)","2019-05-01T04:27:49.000Z","https://www.youtube.com/watch?v=FbAKS6OY0k0","00:40:11","数学","大人","線形代数"
"線形代数入門⑪(逆行列：掃き出し法)","2019-07-08T13:48:32.000Z","https://www.youtube.com/watch?v=K9yZYDUHEVQ","00:17:33","数学","大人","線形代数"
"線形代数入門⑫(固有値・固有ベクトル)","2019-10-01T10:40:25.000Z","https://www.youtube.com/watch?v=_TgBFx0jwRQ","00:26:06","数学","大人","線形代数"
"線形代数入門⑬(対角化：重解がない場合)","2019-10-01T10:43:47.000Z","https://www.youtube.com/watch?v=FTC_aekgqCg","00:30:42","数学","大人","線形代数"
"線形代数入門⑭(対角化：重解がある場合)","2019-10-01T10:45:46.000Z","https://www.youtube.com/watch?v=HxkZgaY8uZg","00:12:51","数学","大人","線形代数"
"行列式の求め方(テスト対策)","2017-07-18T13:04:24.000Z","https://www.youtube.com/watch?v=b9LUUrXXYK0","00:26:04","数学","大人","線形代数"
"連立1次方程式の解き方(テスト対策)","2017-07-18T13:04:24.000Z","https://www.youtube.com/watch?v=ESzPIqpwRxQ","00:38:14","数学","大人","線形代数"
"逆行列の求め方(テスト対策)","2017-07-18T17:13:25.000Z","https://www.youtube.com/watch?v=1RPXXitSLDc","00:28:44","数学","大人","線形代数"
"なぜ線形代数か(行列の意味)","2017-12-25T00:52:22.000Z","https://www.youtube.com/watch?v=XzT708UnDRk","00:07:30","数学","大人","線形代数"
"ベクトル空間①(定義)/全3回","2018-01-12T02:57:37.000Z","https://www.youtube.com/watch?v=F0mkAiRiLik","00:17:41","数学","大人","線形代数"
"ベクトル空間②(易しい例)/全3回","2018-01-16T13:44:54.000Z","https://www.youtube.com/watch?v=iY4MAtFBwKE","00:10:21","数学","大人","線形代数"
"ベクトル空間③(難しい例)/全3回","2018-02-01T01:57:02.000Z","https://www.youtube.com/watch?v=thqemoD0gtE","00:15:09","数学","大人","線形代数"
"固有値・固有ベクトルの求め方(テスト対策)","2017-11-05T09:16:52.000Z","https://www.youtube.com/watch?v=zBvG9qreHjo","00:22:36","数学","大人","線形代数"
"行列の対角化演習(テスト対策)","2019-10-24T05:34:12.000Z","https://www.youtube.com/watch?v=t7lZwgyi6rg","00:26:12","数学","大人","線形代数"
