"タイトル","公開日","URL","長さ","ptitle","playlistId"
"【大学数学】微分方程式入門①(微分方程式とは)","2020-04-21T06:13:19Z","https://www.youtube.com/watch?v=po97dnBfoco","00:33:15","微分方程式","PLDJfzGjtVLHnmhT1AhMx7bSt0ZOGbIP3c"
"【大学数学】微分方程式入門②(変数分離形)","2020-04-23T14:52:01Z","https://www.youtube.com/watch?v=uPRY-KUl4fg","00:36:45","微分方程式","PLDJfzGjtVLHnmhT1AhMx7bSt0ZOGbIP3c"
"【大学数学】微分方程式入門③(同次形)","2020-04-29T15:03:58Z","https://www.youtube.com/watch?v=QeYOiFU6UNs","00:21:34","微分方程式","PLDJfzGjtVLHnmhT1AhMx7bSt0ZOGbIP3c"
"生物学を教養として学ぶべき理由【教養として学ぶ生物学】","2020-04-02T19:29:31.000Z","https://www.youtube.com/watch?v=Cy9breHH-wg","00:13:02","教養として学ぶ生物学","PLDJfzGjtVLHm9TIkDxW0OCKMH2SnYwfYI"
"真核細胞と原核細胞【教養として学ぶ生物学】","2020-04-03T20:40:08.000Z","https://www.youtube.com/watch?v=fdKR9Ke9a3w","00:18:26","教養として学ぶ生物学","PLDJfzGjtVLHm9TIkDxW0OCKMH2SnYwfYI"
"中学で習うことでもノーベル賞！？ノーベル化学賞全解説①(1901~1920)","2020-03-07T11:29:43.000Z","https://www.youtube.com/watch?v=xs-n7x9SQP8","00:31:31","ノーベル化学賞全解説","PLDJfzGjtVLHn_TDyuyP9hQ4crNb-kzeJg"
"少し重い原子の発見とその大胆な活用法！ノーベル化学賞全解説②(1921~1940)","2020-03-15T05:57:12.000Z","https://www.youtube.com/watch?v=RRtOb7YdrIs","00:27:53","ノーベル化学賞全解説","PLDJfzGjtVLHn_TDyuyP9hQ4crNb-kzeJg"
"炭素を用いて歴史に迫る！？ノーベル化学賞全解説③(1941~1960)","2020-03-21T16:14:38.000Z","https://www.youtube.com/watch?v=OxyOkEiMLlw","00:25:05","ノーベル化学賞全解説","PLDJfzGjtVLHn_TDyuyP9hQ4crNb-kzeJg"
"不可逆過程に散逸構造！カッコいい言葉が並ぶノーベル化学賞全解説④(1961~1980)","2020-03-29T08:09:52.000Z","https://www.youtube.com/watch?v=DigF7CNHf-4","00:30:09","ノーベル化学賞全解説","PLDJfzGjtVLHn_TDyuyP9hQ4crNb-kzeJg"
"フロンティア軌道理論に軌道対称性保存則！？ノーベル化学賞全解説⑤(1981~2000)","2020-04-04T17:49:41.000Z","https://www.youtube.com/watch?v=uz76DW2Wz-A","00:29:14","ノーベル化学賞全解説","PLDJfzGjtVLHn_TDyuyP9hQ4crNb-kzeJg"
"死の生物学とは何か？ノーベル化学賞全解説⑥(2001~2019)","2020-04-11T16:08:22.000Z","https://www.youtube.com/watch?v=V0qix3u0Gs8","00:35:48","ノーベル化学賞全解説","PLDJfzGjtVLHn_TDyuyP9hQ4crNb-kzeJg"
"【悪問集】本当に出題された怖い入試！誰も解けない難問たちを我々が供養します。【ほん怖パロディ】","2020-02-22T17:03:50.000Z","https://www.youtube.com/watch?v=_x2Mv49mt6k","00:14:34","ヨビノリ他チャンネル出演","PLDJfzGjtVLHnmh0ovWXaQ1Wo7uFQLa0W5"
"【東大生vs】一流大学はどこだ？！豪華メンバーによる高学歴格付けチェックじゃぁああぁ！！！！！！！！","2020-02-22T17:04:10.000Z","https://www.youtube.com/watch?v=7jkq28pRj-c","00:29:50","ヨビノリ他チャンネル出演","PLDJfzGjtVLHnmh0ovWXaQ1Wo7uFQLa0W5"
