"タイトル","公開日","URL","長さ"
"まーちゃんのエクセルアート講座","2020-04-25T09:13:06.000Z","https://www.youtube.com/watch?v=jgRJB2nBD6I","00:13:02"
"まあちゃんのExcelArtって何 1・はじめに編","2020-04-25T09:13:16.000Z","https://www.youtube.com/watch?v=6zzV7sOUoeE","00:06:17"
"まあちゃんの・Excekartって何 2・準備編","2020-04-25T09:13:24.000Z","https://www.youtube.com/watch?v=ZBWGzr1HytQ","00:05:35"
"まあちゃんの・Excekartって何 3・グラデーション編","2020-04-25T09:13:30.000Z","https://www.youtube.com/watch?v=qGGG_QaQs2I","00:09:23"
"まあちゃんのExcelArtって何 4・パターン編","2020-04-25T09:13:35.000Z","https://www.youtube.com/watch?v=fDSOVQnDTG4","00:06:52"
"まあちゃんのExcelArtって何 5・罫線編","2020-04-25T09:13:41.000Z","https://www.youtube.com/watch?v=bNutNDGvoDo","00:08:11"
"まあちゃんの・Excekartって何 6・その他編","2020-04-25T09:13:47.000Z","https://www.youtube.com/watch?v=oaudJjfPZdo","00:13:15"
